roi_name,label,x_base,y_base
ROI_15,Benign,57246,52009
ROI_15,Benign,57299,52031
ROI_15,Benign,57398,52107
ROI_15,Benign,57497,52153
ROI_15,Benign,57557,52198
ROI_15,Benign,57618,52229
ROI_15,Benign,57633,52229
ROI_15,Benign,57724,52267
ROI_15,Benign,57823,52343
ROI_15,Benign,57861,52381
ROI_15,Benign,57922,52464
ROI_15,Benign,57929,52487
ROI_15,Benign,57952,52510
ROI_15,Benign,57982,52578
ROI_15,Benign,58020,52639
ROI_15,Benign,58043,52661
ROI_15,Benign,58096,52745
ROI_15,Benign,58195,52874
ROI_15,Benign,58218,52920
ROI_15,Benign,58225,52965
ROI_15,Benign,58256,53056
ROI_15,Benign,58324,53162
ROI_15,Benign,58369,53307
ROI_15,Benign,58438,53443
ROI_15,Benign,58453,53504
ROI_15,Benign,58476,53542
ROI_15,Benign,58491,53595
ROI_15,Benign,58514,53633
ROI_15,Benign,58514,53648
ROI_15,Benign,58529,53663
ROI_15,Benign,58536,53694
ROI_15,Benign,58559,53724
ROI_15,Benign,58582,53800
ROI_15,Benign,58597,53823
ROI_15,Benign,58627,53929
ROI_15,Benign,58635,53990
ROI_15,Benign,58643,53997
ROI_15,Benign,58665,54119
ROI_15,Benign,58681,54149
ROI_15,Benign,58703,54263
ROI_15,Benign,58719,54293
ROI_15,Benign,58726,54347
ROI_15,Benign,58741,54377
ROI_15,Benign,58749,54476
ROI_15,Benign,58757,54483
ROI_15,Benign,58757,54597
ROI_15,Benign,58749,54605
ROI_15,Benign,58749,54696
ROI_15,Benign,58741,54703
ROI_15,Benign,58741,55151
ROI_15,Benign,58734,55159
ROI_15,Benign,58734,55212
ROI_15,Benign,58726,55219
ROI_15,Benign,58719,55295
ROI_15,Benign,58711,55303
ROI_15,Benign,58681,55485
ROI_15,Benign,58673,55493
ROI_15,Benign,58673,55531
ROI_15,Benign,58665,55538
ROI_15,Benign,58665,55766
ROI_15,Benign,58605,55903
ROI_15,Benign,58605,55918
ROI_15,Benign,58574,55971
ROI_15,Benign,58559,56039
ROI_15,Benign,58498,56183
ROI_15,Benign,58453,56252
ROI_15,Benign,58430,56274
ROI_15,Benign,58377,56305
ROI_15,Benign,58263,56396
ROI_15,Benign,58180,56441
ROI_15,Benign,58066,56533
ROI_15,Benign,57997,56563
ROI_15,Benign,57975,56586
ROI_15,Benign,57952,56593
ROI_15,Benign,57922,56616
ROI_15,Benign,57846,56654
ROI_15,Benign,57793,56669
ROI_15,Benign,57671,56737
ROI_15,Benign,57633,56745
ROI_15,Benign,57588,56768
ROI_15,Benign,57466,56783
ROI_15,Benign,57459,56791
ROI_15,Benign,57345,56791
ROI_15,Benign,57337,56783
ROI_15,Benign,57299,56783
ROI_15,Benign,57292,56775
ROI_15,Benign,57208,56768
ROI_15,Benign,57200,56760
ROI_15,Benign,57140,56753
ROI_15,Benign,57132,56745
ROI_15,Benign,56904,56730
ROI_15,Benign,56867,56715
ROI_15,Benign,56798,56707
ROI_15,Benign,56760,56692
ROI_15,Benign,56737,56692
ROI_15,Benign,56730,56684
ROI_15,Benign,56662,56677
ROI_15,Benign,56654,56669
ROI_15,Benign,56608,56662
ROI_15,Benign,56601,56654
ROI_15,Benign,56578,56654
ROI_15,Benign,56502,56616
ROI_15,Benign,56388,56578
ROI_15,Benign,56366,56563
ROI_15,Benign,56183,56525
ROI_15,Benign,56054,56464
ROI_15,Benign,56024,56441
ROI_15,Benign,55895,56396
ROI_15,Benign,55766,56328
ROI_15,Benign,55682,56305
ROI_15,Benign,55660,56290
ROI_15,Benign,55637,56290
ROI_15,Benign,55607,56274
ROI_15,Benign,55591,56274
ROI_15,Benign,55569,56259
ROI_15,Benign,55546,56259
ROI_15,Benign,55515,56244
ROI_15,Benign,55379,56214
ROI_15,Benign,55371,56206
ROI_15,Benign,55341,56206
ROI_15,Benign,55303,56191
ROI_15,Benign,55242,56183
ROI_15,Benign,55113,56138
ROI_15,Benign,55022,56092
ROI_15,Benign,54939,56070
ROI_15,Benign,54908,56070
ROI_15,Benign,54878,56054
ROI_15,Benign,54802,56039
ROI_15,Benign,54749,56016
ROI_15,Benign,54688,56009
ROI_15,Benign,54680,56001
