roi_name,label,x_base,y_base
ROI_1,Dysplasia,14873.0,5742.0
ROI_1,Dysplasia,14857.0,5758.0
ROI_1,Dysplasia,14810.0,5774.0
ROI_1,Dysplasia,14731.0,5774.0
ROI_1,Dysplasia,14723.0,5781.0
ROI_1,Dysplasia,14636.0,5789.0
ROI_1,Dysplasia,14510.0,5853.0
ROI_1,Dysplasia,14470.0,5892.0
ROI_1,Dysplasia,14447.0,5900.0
ROI_1,Dysplasia,14312.0,6034.0
ROI_1,Dysplasia,14257.0,6066.0
ROI_1,Dysplasia,14218.0,6113.0
ROI_1,Dysplasia,14210.0,6113.0
ROI_1,Dysplasia,14123.0,6271.0
ROI_1,Dysplasia,14107.0,6334.0
ROI_1,Dysplasia,14091.0,6358.0
ROI_1,Dysplasia,14091.0,6382.0
ROI_1,Dysplasia,14067.0,6437.0
ROI_1,Dysplasia,14060.0,6500.0
ROI_1,Dysplasia,14036.0,6556.0
ROI_1,Dysplasia,14028.0,6619.0
ROI_1,Dysplasia,14020.0,6627.0
ROI_1,Dysplasia,14020.0,6824.0
ROI_1,Dysplasia,14028.0,6832.0
ROI_1,Dysplasia,14036.0,6895.0
ROI_1,Dysplasia,14060.0,6951.0
ROI_1,Dysplasia,14067.0,7014.0
ROI_1,Dysplasia,14107.0,7093.0
ROI_1,Dysplasia,14107.0,7164.0
ROI_1,Dysplasia,14052.0,7219.0
ROI_1,Dysplasia,13973.0,7259.0
ROI_1,Dysplasia,13917.0,7266.0
ROI_1,Dysplasia,13909.0,7274.0
ROI_1,Dysplasia,13807.0,7282.0
ROI_1,Dysplasia,13799.0,7290.0
ROI_1,Dysplasia,13736.0,7290.0
ROI_1,Dysplasia,13728.0,7298.0
ROI_1,Dysplasia,13625.0,7298.0
ROI_1,Dysplasia,13617.0,7306.0
ROI_1,Dysplasia,13554.0,7306.0
ROI_1,Dysplasia,13546.0,7298.0
ROI_1,Dysplasia,13333.0,7306.0
ROI_1,Dysplasia,13325.0,7298.0
ROI_1,Dysplasia,13285.0,7298.0
ROI_1,Dysplasia,13278.0,7306.0
ROI_1,Dysplasia,13175.0,7306.0
ROI_1,Dysplasia,13167.0,7314.0
ROI_1,Dysplasia,13064.0,7322.0
ROI_1,Dysplasia,13056.0,7330.0
ROI_1,Dysplasia,12985.0,7338.0
ROI_1,Dysplasia,12906.0,7361.0
ROI_1,Dysplasia,12875.0,7377.0
ROI_1,Dysplasia,12843.0,7409.0
ROI_1,Dysplasia,12748.0,7448.0
ROI_1,Dysplasia,12709.0,7480.0
ROI_1,Dysplasia,12669.0,7496.0
ROI_1,Dysplasia,12622.0,7543.0
ROI_1,Dysplasia,12567.0,7575.0
ROI_1,Dysplasia,12464.0,7685.0
ROI_1,Dysplasia,12440.0,7693.0
ROI_1,Dysplasia,12409.0,7725.0
ROI_1,Dysplasia,12377.0,7740.0
ROI_1,Dysplasia,12338.0,7796.0
ROI_1,Dysplasia,12306.0,7812.0
ROI_1,Dysplasia,12243.0,7875.0
ROI_1,Dysplasia,12235.0,7875.0
ROI_1,Dysplasia,12235.0,7883.0
ROI_1,Dysplasia,12195.0,7922.0
ROI_1,Dysplasia,12172.0,7930.0
ROI_1,Dysplasia,12085.0,8001.0
ROI_1,Dysplasia,12069.0,8001.0
ROI_1,Dysplasia,12006.0,8041.0
ROI_1,Dysplasia,11990.0,8041.0
ROI_1,Dysplasia,11966.0,8056.0
ROI_1,Dysplasia,11943.0,8056.0
ROI_1,Dysplasia,11879.0,8088.0
ROI_1,Dysplasia,11785.0,8175.0
ROI_1,Dysplasia,11753.0,8191.0
ROI_1,Dysplasia,11674.0,8262.0
ROI_1,Dysplasia,11650.0,8309.0
ROI_1,Dysplasia,11603.0,8364.0
ROI_1,Dysplasia,11587.0,8412.0
ROI_1,Dysplasia,11508.0,8499.0
ROI_1,Dysplasia,11461.0,8578.0
ROI_1,Dysplasia,11421.0,8609.0
ROI_1,Dysplasia,11398.0,8649.0
ROI_1,Dysplasia,11327.0,8712.0
ROI_1,Dysplasia,11240.0,8759.0
ROI_1,Dysplasia,11200.0,8807.0
ROI_1,Dysplasia,11169.0,8815.0
ROI_1,Dysplasia,11129.0,8846.0
ROI_1,Dysplasia,11105.0,8854.0
ROI_1,Dysplasia,10947.0,9004.0
ROI_1,Dysplasia,10916.0,9012.0
ROI_1,Dysplasia,10908.0,9036.0
ROI_1,Dysplasia,10805.0,9146.0
ROI_1,Dysplasia,10758.0,9225.0
ROI_1,Dysplasia,10726.0,9257.0
ROI_1,Dysplasia,10703.0,9312.0
ROI_1,Dysplasia,10663.0,9344.0
ROI_1,Dysplasia,10655.0,9368.0
ROI_1,Dysplasia,10631.0,9391.0
ROI_1,Dysplasia,10631.0,9407.0
ROI_1,Dysplasia,10576.0,9518.0
ROI_1,Dysplasia,10568.0,9557.0
ROI_1,Dysplasia,10537.0,9597.0
ROI_1,Dysplasia,10497.0,9676.0
ROI_1,Dysplasia,10442.0,9731.0
ROI_1,Dysplasia,10402.0,9747.0
ROI_1,Dysplasia,10379.0,9770.0
ROI_1,Dysplasia,10347.0,9786.0
ROI_1,Dysplasia,10315.0,9826.0
ROI_1,Dysplasia,10276.0,9842.0
ROI_1,Dysplasia,10205.0,9905.0
ROI_1,Dysplasia,10173.0,9944.0
ROI_1,Dysplasia,10071.0,10023.0
ROI_1,Dysplasia,10055.0,10047.0
ROI_1,Dysplasia,9905.0,10118.0
ROI_1,Dysplasia,9873.0,10150.0
ROI_1,Dysplasia,9857.0,10189.0
ROI_1,Dysplasia,9826.0,10229.0
ROI_1,Dysplasia,9770.0,10276.0
ROI_1,Dysplasia,9755.0,10315.0
ROI_1,Dysplasia,9707.0,10379.0
ROI_1,Dysplasia,9684.0,10434.0
ROI_1,Dysplasia,9636.0,10473.0
ROI_1,Dysplasia,9628.0,10497.0
ROI_1,Dysplasia,9589.0,10545.0
ROI_1,Dysplasia,9581.0,10568.0
ROI_1,Dysplasia,9518.0,10631.0
ROI_1,Dysplasia,9439.0,10766.0
ROI_1,Dysplasia,9391.0,10805.0
ROI_1,Dysplasia,9375.0,10837.0
ROI_1,Dysplasia,9336.0,10884.0
ROI_1,Dysplasia,9312.0,10932.0
ROI_1,Dysplasia,9312.0,10947.0
ROI_1,Dysplasia,9273.0,10979.0
ROI_1,Dysplasia,9225.0,11074.0
ROI_1,Dysplasia,9154.0,11153.0
ROI_1,Dysplasia,9139.0,11161.0
ROI_1,Dysplasia,9123.0,11200.0
ROI_1,Dysplasia,9052.0,11295.0
ROI_1,Dysplasia,9052.0,11311.0
ROI_1,Dysplasia,8949.0,11429.0
ROI_1,Dysplasia,8949.0,11445.0
ROI_1,Dysplasia,8933.0,11469.0
ROI_1,Dysplasia,8878.0,11516.0
ROI_1,Dysplasia,8870.0,11540.0
ROI_1,Dysplasia,8854.0,11556.0
ROI_1,Dysplasia,8854.0,11571.0
ROI_1,Dysplasia,8815.0,11627.0
ROI_1,Dysplasia,8807.0,11658.0
ROI_1,Dysplasia,8759.0,11721.0
ROI_1,Dysplasia,8751.0,11753.0
ROI_1,Dysplasia,8720.0,11808.0
ROI_1,Dysplasia,8712.0,11840.0
ROI_1,Dysplasia,8680.0,11887.0
ROI_1,Dysplasia,8672.0,11919.0
ROI_1,Dysplasia,8649.0,11958.0
ROI_1,Dysplasia,8617.0,11990.0
ROI_1,Dysplasia,8554.0,12109.0
ROI_1,Dysplasia,8499.0,12156.0
ROI_1,Dysplasia,8467.0,12211.0
ROI_1,Dysplasia,8436.0,12243.0
ROI_1,Dysplasia,8372.0,12282.0
ROI_1,Dysplasia,8341.0,12338.0
ROI_1,Dysplasia,8230.0,12424.0
