roi_name,label,x_base,y_base
ROI_4,Benign,26650.0,2709.0
ROI_4,Benign,26642.0,2717.0
ROI_4,Benign,26611.0,2717.0
ROI_4,Benign,26571.0,2733.0
ROI_4,Benign,26532.0,2733.0
ROI_4,Benign,26524.0,2740.0
ROI_4,Benign,26358.0,2733.0
ROI_4,Benign,26350.0,2725.0
ROI_4,Benign,26295.0,2725.0
ROI_4,Benign,26287.0,2717.0
ROI_4,Benign,26255.0,2717.0
ROI_4,Benign,26208.0,2733.0
ROI_4,Benign,26137.0,2733.0
ROI_4,Benign,26090.0,2717.0
ROI_4,Benign,26058.0,2717.0
ROI_4,Benign,26050.0,2725.0
ROI_4,Benign,25932.0,2725.0
ROI_4,Benign,25924.0,2717.0
ROI_4,Benign,25884.0,2717.0
ROI_4,Benign,25876.0,2709.0
ROI_4,Benign,25789.0,2709.0
ROI_4,Benign,25726.0,2733.0
ROI_4,Benign,25639.0,2733.0
ROI_4,Benign,25631.0,2740.0
ROI_4,Benign,25592.0,2740.0
ROI_4,Benign,25584.0,2733.0
ROI_4,Benign,25576.0,2740.0
ROI_4,Benign,25529.0,2740.0
ROI_4,Benign,25363.0,2796.0
ROI_4,Benign,25229.0,2812.0
ROI_4,Benign,25221.0,2819.0
ROI_4,Benign,25181.0,2819.0
ROI_4,Benign,25102.0,2859.0
ROI_4,Benign,24944.0,2883.0
ROI_4,Benign,24873.0,2906.0
ROI_4,Benign,24834.0,2906.0
ROI_4,Benign,24826.0,2914.0
ROI_4,Benign,24668.0,2914.0
ROI_4,Benign,24660.0,2922.0
ROI_4,Benign,24581.0,2930.0
ROI_4,Benign,24573.0,2938.0
ROI_4,Benign,24454.0,2946.0
ROI_4,Benign,24312.0,2993.0
ROI_4,Benign,24186.0,2993.0
ROI_4,Benign,24178.0,3001.0
ROI_4,Benign,24123.0,3009.0
ROI_4,Benign,24091.0,3033.0
ROI_4,Benign,24020.0,3048.0
ROI_4,Benign,24012.0,3056.0
ROI_4,Benign,23886.0,3064.0
ROI_4,Benign,23838.0,3080.0
ROI_4,Benign,23799.0,3080.0
ROI_4,Benign,23649.0,3159.0
ROI_4,Benign,23570.0,3167.0
ROI_4,Benign,23562.0,3175.0
ROI_4,Benign,23467.0,3175.0
ROI_4,Benign,23459.0,3183.0
ROI_4,Benign,23428.0,3183.0
ROI_4,Benign,23364.0,3206.0
ROI_4,Benign,23341.0,3230.0
ROI_4,Benign,23262.0,3238.0
ROI_4,Benign,23254.0,3246.0
ROI_4,Benign,23143.0,3262.0
ROI_4,Benign,23104.0,3278.0
ROI_4,Benign,22969.0,3293.0
ROI_4,Benign,22898.0,3317.0
ROI_4,Benign,22788.0,3333.0
ROI_4,Benign,22701.0,3364.0
ROI_4,Benign,22669.0,3364.0
ROI_4,Benign,22527.0,3412.0
ROI_4,Benign,22472.0,3420.0
ROI_4,Benign,22448.0,3436.0
ROI_4,Benign,22377.0,3451.0
ROI_4,Benign,22322.0,3491.0
ROI_4,Benign,22227.0,3515.0
ROI_4,Benign,22187.0,3538.0
ROI_4,Benign,22156.0,3538.0
ROI_4,Benign,22101.0,3562.0
ROI_4,Benign,22045.0,3570.0
ROI_4,Benign,21951.0,3617.0
ROI_4,Benign,21832.0,3641.0
ROI_4,Benign,21808.0,3657.0
ROI_4,Benign,21777.0,3665.0
ROI_4,Benign,21737.0,3696.0
ROI_4,Benign,21721.0,3696.0
ROI_4,Benign,21674.0,3720.0
ROI_4,Benign,21642.0,3720.0
ROI_4,Benign,21484.0,3799.0
ROI_4,Benign,21469.0,3799.0
ROI_4,Benign,21429.0,3823.0
ROI_4,Benign,21406.0,3823.0
ROI_4,Benign,21374.0,3838.0
ROI_4,Benign,21327.0,3886.0
ROI_4,Benign,21271.0,3909.0
ROI_4,Benign,21255.0,3925.0
ROI_4,Benign,21161.0,3957.0
ROI_4,Benign,21113.0,3996.0
ROI_4,Benign,21011.0,4044.0
ROI_4,Benign,20979.0,4067.0
ROI_4,Benign,20932.0,4083.0
ROI_4,Benign,20884.0,4131.0
ROI_4,Benign,20750.0,4178.0
ROI_4,Benign,20671.0,4257.0
ROI_4,Benign,20624.0,4273.0
ROI_4,Benign,20545.0,4328.0
ROI_4,Benign,20505.0,4336.0
ROI_4,Benign,20473.0,4368.0
ROI_4,Benign,20387.0,4407.0
ROI_4,Benign,20292.0,4510.0
ROI_4,Benign,20252.0,4518.0
ROI_4,Benign,20181.0,4581.0
ROI_4,Benign,20150.0,4597.0
ROI_4,Benign,20086.0,4707.0
ROI_4,Benign,20031.0,4770.0
ROI_4,Benign,20007.0,4778.0
ROI_4,Benign,19944.0,4834.0
ROI_4,Benign,19889.0,4857.0
ROI_4,Benign,19857.0,4897.0
ROI_4,Benign,19778.0,4960.0
ROI_4,Benign,19747.0,4960.0
ROI_4,Benign,19739.0,4968.0
ROI_4,Benign,19668.0,4960.0
ROI_4,Benign,19620.0,4944.0
ROI_4,Benign,19533.0,4897.0
ROI_4,Benign,19510.0,4897.0
ROI_4,Benign,19415.0,4842.0
ROI_4,Benign,19360.0,4842.0
ROI_4,Benign,19352.0,4849.0
ROI_4,Benign,19320.0,4849.0
ROI_4,Benign,19273.0,4873.0
ROI_4,Benign,19202.0,4952.0
ROI_4,Benign,19146.0,4992.0
ROI_4,Benign,19091.0,4992.0
ROI_4,Benign,18981.0,4944.0
ROI_4,Benign,18917.0,4889.0
ROI_4,Benign,18846.0,4849.0
ROI_4,Benign,18815.0,4849.0
ROI_4,Benign,18736.0,4826.0
ROI_4,Benign,18633.0,4739.0
ROI_4,Benign,18601.0,4699.0
ROI_4,Benign,18593.0,4668.0
ROI_4,Benign,18546.0,4597.0
ROI_4,Benign,18499.0,4573.0
ROI_4,Benign,18467.0,4541.0
ROI_4,Benign,18412.0,4510.0
ROI_4,Benign,18364.0,4494.0
ROI_4,Benign,18341.0,4494.0
