roi_name,label,x_base,y_base
ROI_19,Benign,14060.0,46161.0
ROI_19,Benign,13957.0,46113.0
ROI_19,Benign,13894.0,46097.0
ROI_19,Benign,13720.0,46011.0
ROI_19,Benign,13688.0,46003.0
ROI_19,Benign,13507.0,45892.0
ROI_19,Benign,13412.0,45821.0
ROI_19,Benign,13285.0,45695.0
ROI_19,Benign,13214.0,45639.0
ROI_19,Benign,13191.0,45608.0
ROI_19,Benign,13151.0,45584.0
ROI_19,Benign,13041.0,45473.0
ROI_19,Benign,12985.0,45434.0
ROI_19,Benign,12780.0,45221.0
ROI_19,Benign,12780.0,45213.0
ROI_19,Benign,12693.0,45118.0
ROI_19,Benign,12559.0,44913.0
ROI_19,Benign,12503.0,44794.0
ROI_19,Benign,12464.0,44739.0
ROI_19,Benign,12401.0,44605.0
ROI_19,Benign,12369.0,44565.0
ROI_19,Benign,12282.0,44391.0
ROI_19,Benign,12195.0,44257.0
ROI_19,Benign,12195.0,44241.0
ROI_19,Benign,12164.0,44178.0
ROI_19,Benign,12124.0,44131.0
ROI_19,Benign,12109.0,44099.0
ROI_19,Benign,12006.0,43981.0
ROI_19,Benign,11848.0,43838.0
ROI_19,Benign,11714.0,43767.0
ROI_19,Benign,11492.0,43617.0
ROI_19,Benign,11445.0,43593.0
ROI_19,Benign,11382.0,43522.0
ROI_19,Benign,11311.0,43467.0
ROI_19,Benign,11169.0,43325.0
ROI_19,Benign,11113.0,43246.0
ROI_19,Benign,11105.0,43222.0
ROI_19,Benign,11058.0,43175.0
ROI_19,Benign,11018.0,43112.0
ROI_19,Benign,10979.0,42985.0
ROI_19,Benign,10932.0,42890.0
ROI_19,Benign,10924.0,42827.0
ROI_19,Benign,10892.0,42740.0
ROI_19,Benign,10876.0,42646.0
ROI_19,Benign,10805.0,42456.0
ROI_19,Benign,10797.0,42377.0
ROI_19,Benign,10789.0,42369.0
ROI_19,Benign,10797.0,42132.0
ROI_19,Benign,10829.0,42053.0
ROI_19,Benign,10837.0,41998.0
ROI_19,Benign,10860.0,41951.0
ROI_19,Benign,10860.0,41935.0
ROI_19,Benign,10900.0,41872.0
ROI_19,Benign,11026.0,41745.0
ROI_19,Benign,11129.0,41698.0
ROI_19,Benign,11145.0,41682.0
ROI_19,Benign,11208.0,41650.0
ROI_19,Benign,11295.0,41635.0
ROI_19,Benign,11461.0,41579.0
ROI_19,Benign,11500.0,41579.0
ROI_19,Benign,11540.0,41563.0
ROI_19,Benign,11571.0,41563.0
ROI_19,Benign,11658.0,41524.0
ROI_19,Benign,11777.0,41500.0
ROI_19,Benign,11800.0,41484.0
ROI_19,Benign,11832.0,41484.0
ROI_19,Benign,12037.0,41421.0
ROI_19,Benign,12156.0,41413.0
ROI_19,Benign,12195.0,41398.0
ROI_19,Benign,12306.0,41390.0
ROI_19,Benign,12314.0,41382.0
ROI_19,Benign,12361.0,41382.0
ROI_19,Benign,12369.0,41374.0
ROI_19,Benign,12707.0,41365.0
ROI_19,Benign,12842.0,41331.0
ROI_19,Benign,12804.0,40687.0
ROI_19,Benign,12748.0,40687.0
ROI_19,Benign,12740.0,40695.0
ROI_19,Benign,12638.0,40703.0
ROI_19,Benign,12598.0,40718.0
ROI_19,Benign,12511.0,40734.0
ROI_19,Benign,12424.0,40766.0
ROI_19,Benign,12385.0,40766.0
ROI_19,Benign,12377.0,40774.0
ROI_19,Benign,12306.0,40781.0
ROI_19,Benign,12298.0,40789.0
ROI_19,Benign,12219.0,40789.0
ROI_19,Benign,12211.0,40797.0
ROI_19,Benign,12195.0,40789.0
ROI_19,Benign,12132.0,40789.0
ROI_19,Benign,12124.0,40781.0
ROI_19,Benign,12045.0,40781.0
ROI_19,Benign,12037.0,40774.0
ROI_19,Benign,12014.0,40781.0
ROI_19,Benign,11943.0,40781.0
ROI_19,Benign,11935.0,40789.0
ROI_19,Benign,11832.0,40789.0
