roi_name,label,x_base,y_base
ROI_0,Benign,26793,4454
ROI_0,Benign,26785,4462
ROI_0,Benign,26706,4462
ROI_0,Benign,26698,4470
ROI_0,Benign,26642,4470
ROI_0,Benign,26635,4478
ROI_0,Benign,26587,4478
ROI_0,Benign,26579,4486
ROI_0,Benign,26532,4486
ROI_0,Benign,26524,4494
ROI_0,Benign,26484,4494
ROI_0,Benign,26437,4510
ROI_0,Benign,26398,4510
ROI_0,Benign,26390,4518
ROI_0,Benign,26319,4526
ROI_0,Benign,26279,4541
ROI_0,Benign,26216,4541
ROI_0,Benign,26208,4549
ROI_0,Benign,26184,4549
ROI_0,Benign,26113,4581
ROI_0,Benign,26074,4612
ROI_0,Benign,25924,4652
ROI_0,Benign,25908,4668
ROI_0,Benign,25900,4691
ROI_0,Benign,25908,4715
ROI_0,Benign,25955,4763
ROI_0,Benign,26129,4849
ROI_0,Benign,26295,4905
ROI_0,Benign,26342,4905
ROI_0,Benign,26350,4913
ROI_0,Benign,26390,4913
ROI_0,Benign,26398,4921
ROI_0,Benign,26469,4921
ROI_0,Benign,26477,4928
ROI_0,Benign,26872,4936
ROI_0,Benign,26879,4944
ROI_0,Benign,26998,4952
ROI_0,Benign,27006,4960
ROI_0,Benign,27093,4968
ROI_0,Benign,27101,4976
ROI_0,Benign,27140,4976
ROI_0,Benign,27148,4984
ROI_0,Benign,27306,5000
ROI_0,Benign,27314,5007
ROI_0,Benign,27353,5007
ROI_0,Benign,27361,5015
ROI_0,Benign,27417,5015
ROI_0,Benign,27424,5023
ROI_0,Benign,27464,5023
ROI_0,Benign,27472,5031
ROI_0,Benign,27575,5031
ROI_0,Benign,27582,5039
ROI_0,Benign,27748,5047
ROI_0,Benign,27756,5055
ROI_0,Benign,27890,5063
ROI_0,Benign,27898,5071
ROI_0,Benign,27946,5071
ROI_0,Benign,27954,5078
ROI_0,Benign,28001,5078
ROI_0,Benign,28009,5086
ROI_0,Benign,28072,5086
ROI_0,Benign,28080,5094
ROI_0,Benign,28127,5094
ROI_0,Benign,28135,5102
ROI_0,Benign,28191,5102
ROI_0,Benign,28199,5110
ROI_0,Benign,28341,5118
ROI_0,Benign,28388,5134
ROI_0,Benign,28428,5134
ROI_0,Benign,28475,5150
ROI_0,Benign,28586,5165
ROI_0,Benign,28593,5173
ROI_0,Benign,28633,5173
ROI_0,Benign,28672,5189
ROI_0,Benign,28720,5189
ROI_0,Benign,28728,5197
ROI_0,Benign,28767,5197
ROI_0,Benign,28775,5205
ROI_0,Benign,28830,5205
ROI_0,Benign,28838,5213
ROI_0,Benign,28925,5221
ROI_0,Benign,28933,5229
ROI_0,Benign,28981,5229
ROI_0,Benign,28988,5236
ROI_0,Benign,29028,5236
ROI_0,Benign,29036,5244
ROI_0,Benign,29162,5252
ROI_0,Benign,29170,5260
ROI_0,Benign,29233,5260
ROI_0,Benign,29241,5268
ROI_0,Benign,29320,5276
ROI_0,Benign,29328,5284
ROI_0,Benign,29375,5284
ROI_0,Benign,29383,5292
ROI_0,Benign,29423,5292
ROI_0,Benign,29431,5300
ROI_0,Benign,29470,5300
ROI_0,Benign,29518,5315
ROI_0,Benign,29589,5315
ROI_0,Benign,29636,5331
ROI_0,Benign,29826,5339
ROI_0,Benign,29834,5347
ROI_0,Benign,29968,5347
ROI_0,Benign,29976,5355
ROI_0,Benign,30189,5371
ROI_0,Benign,30197,5379
ROI_0,Benign,30323,5387
ROI_0,Benign,30331,5394
ROI_0,Benign,30537,5402
ROI_0,Benign,30545,5410
ROI_0,Benign,30592,5410
ROI_0,Benign,30600,5418
ROI_0,Benign,30805,5426
ROI_0,Benign,30813,5434
ROI_0,Benign,30884,5434
ROI_0,Benign,30892,5442
ROI_0,Benign,31003,5442
ROI_0,Benign,31011,5450
ROI_0,Benign,31058,5450
ROI_0,Benign,31105,5466
ROI_0,Benign,31184,5473
ROI_0,Benign,31192,5481
ROI_0,Benign,31232,5481
ROI_0,Benign,31240,5489
ROI_0,Benign,31303,5497
ROI_0,Benign,31311,5505
ROI_0,Benign,31382,5505
ROI_0,Benign,31390,5513
ROI_0,Benign,31453,5513
ROI_0,Benign,31461,5521
ROI_0,Benign,31714,5521
ROI_0,Benign,31721,5529
ROI_0,Benign,31840,5529
ROI_0,Benign,31848,5537
ROI_0,Benign,32345,5529
ROI_0,Benign,32353,5537
ROI_0,Benign,32630,5537
ROI_0,Benign,32638,5545
ROI_0,Benign,32875,5545
ROI_0,Benign,32883,5552
ROI_0,Benign,32977,5552
ROI_0,Benign,32985,5560
ROI_0,Benign,33033,5560
ROI_0,Benign,33041,5568
ROI_0,Benign,33112,5576
ROI_0,Benign,33120,5584
ROI_0,Benign,33159,5584
ROI_0,Benign,33167,5592
ROI_0,Benign,33214,5592
ROI_0,Benign,33246,5608
ROI_0,Benign,33301,5608
ROI_0,Benign,33309,5616
ROI_0,Benign,33372,5624
ROI_0,Benign,33380,5631
ROI_0,Benign,33436,5631
ROI_0,Benign,33443,5639
ROI_0,Benign,33483,5639
ROI_0,Benign,33530,5655
ROI_0,Benign,33562,5655
ROI_0,Benign,33570,5663
ROI_0,Benign,33609,5663
ROI_0,Benign,33680,5687
ROI_0,Benign,33775,5695
ROI_0,Benign,33846,5718
ROI_0,Benign,33941,5726
ROI_0,Benign,33949,5734
ROI_0,Benign,34012,5734
ROI_0,Benign,34020,5742
ROI_0,Benign,34233,5742
ROI_0,Benign,34241,5734
ROI_0,Benign,34368,5734
ROI_0,Benign,34375,5726
ROI_0,Benign,34478,5726
ROI_0,Benign,34486,5734
ROI_0,Benign,34739,5734
ROI_0,Benign,34747,5726
ROI_0,Benign,34818,5726
ROI_0,Benign,34826,5718
ROI_0,Benign,35031,5710
ROI_0,Benign,35039,5703
ROI_0,Benign,35157,5695
ROI_0,Benign,35165,5687
ROI_0,Benign,35205,5687
ROI_0,Benign,35213,5679
ROI_0,Benign,35276,5679
ROI_0,Benign,35284,5671
ROI_0,Benign,35355,5671
ROI_0,Benign,35363,5663
ROI_0,Benign,35513,5663
ROI_0,Benign,35521,5671
ROI_0,Benign,35608,5671
ROI_0,Benign,35616,5679
ROI_0,Benign,35671,5679
ROI_0,Benign,35679,5687
ROI_0,Benign,35789,5695
ROI_0,Benign,35797,5703
ROI_0,Benign,35829,5703
ROI_0,Benign,35837,5710
ROI_0,Benign,35939,5726
ROI_0,Benign,36034,5758
ROI_0,Benign,36113,5766
ROI_0,Benign,36121,5774
ROI_0,Benign,36184,5774
ROI_0,Benign,36192,5781
ROI_0,Benign,36248,5781
ROI_0,Benign,36255,5789
ROI_0,Benign,36540,5789
ROI_0,Benign,36548,5797
ROI_0,Benign,36611,5797
ROI_0,Benign,36619,5805
ROI_0,Benign,36832,5813
ROI_0,Benign,36840,5821
ROI_0,Benign,36903,5821
ROI_0,Benign,36911,5813
ROI_0,Benign,37338,5813
ROI_0,Benign,37345,5821
ROI_0,Benign,37527,5829
ROI_0,Benign,37535,5837
ROI_0,Benign,37575,5837
ROI_0,Benign,37669,5868
ROI_0,Benign,37709,5868
ROI_0,Benign,37717,5876
ROI_0,Benign,37772,5884
ROI_0,Benign,37812,5900
ROI_0,Benign,37875,5908
ROI_0,Benign,37946,5932
ROI_0,Benign,37969,5947
ROI_0,Benign,37985,5947
ROI_0,Benign,38009,5963
ROI_0,Benign,38025,5963
ROI_0,Benign,38048,5979
ROI_0,Benign,38064,5979
ROI_0,Benign,38175,6034
ROI_0,Benign,38214,6042
ROI_0,Benign,38230,6058
ROI_0,Benign,38262,6066
ROI_0,Benign,38285,6082
ROI_0,Benign,38333,6097
ROI_0,Benign,38364,6097
ROI_0,Benign,38420,6121
ROI_0,Benign,38530,6129
ROI_0,Benign,38538,6137
ROI_0,Benign,38601,6137
ROI_0,Benign,38609,6145
ROI_0,Benign,38933,6153
ROI_0,Benign,38941,6161
ROI_0,Benign,38981,6161
ROI_0,Benign,38988,6169
ROI_0,Benign,39012,6169
ROI_0,Benign,39020,6176
ROI_0,Benign,39044,6176
ROI_0,Benign,39052,6184
ROI_0,Benign,39075,6184
ROI_0,Benign,39123,6200
ROI_0,Benign,39146,6216
ROI_0,Benign,39210,6232
ROI_0,Benign,39296,6279
ROI_0,Benign,39312,6279
ROI_0,Benign,39336,6303
ROI_0,Benign,39486,6382
ROI_0,Benign,39676,6508
ROI_0,Benign,39755,6548
ROI_0,Benign,39802,6587
ROI_0,Benign,39873,6627
ROI_0,Benign,39960,6698
ROI_0,Benign,40055,6745
ROI_0,Benign,40071,6745
ROI_0,Benign,40110,6769
ROI_0,Benign,40134,6769
ROI_0,Benign,40142,6777
ROI_0,Benign,40466,6777
ROI_0,Benign,40473,6769
ROI_0,Benign,40513,6769
ROI_0,Benign,40545,6753
ROI_0,Benign,40616,6745
ROI_0,Benign,40687,6721
ROI_0,Benign,40837,6650
ROI_0,Benign,40860,6627
ROI_0,Benign,40955,6579
ROI_0,Benign,41026,6524
ROI_0,Benign,41311,6374
ROI_0,Benign,41429,6334
ROI_0,Benign,41484,6327
ROI_0,Benign,41492,6319
ROI_0,Benign,41524,6319
ROI_0,Benign,41532,6311
ROI_0,Benign,41603,6311
ROI_0,Benign,41611,6303
ROI_0,Benign,41911,6303
ROI_0,Benign,41919,6311
ROI_0,Benign,41998,6311
ROI_0,Benign,42006,6319
ROI_0,Benign,42061,6319
ROI_0,Benign,42069,6327
ROI_0,Benign,42172,6334
ROI_0,Benign,42180,6342
ROI_0,Benign,42259,6350
ROI_0,Benign,42266,6358
ROI_0,Benign,42353,6358
ROI_0,Benign,42361,6366
ROI_0,Benign,42417,6366
ROI_0,Benign,42424,6374
ROI_0,Benign,42488,6374
ROI_0,Benign,42535,6390
ROI_0,Benign,42575,6390
ROI_0,Benign,42614,6406
ROI_0,Benign,42685,6413
ROI_0,Benign,42756,6437
ROI_0,Benign,42812,6445
ROI_0,Benign,42843,6461
ROI_0,Benign,42875,6461
ROI_0,Benign,42938,6484
ROI_0,Benign,43056,6508
ROI_0,Benign,43088,6524
