roi_name,label,x_base,y_base
ROI_10,Dysplasia,59424.0,30778.0
ROI_10,Dysplasia,59280.0,31074.0
ROI_10,Dysplasia,59235.0,31135.0
ROI_10,Dysplasia,59166.0,31272.0
ROI_10,Dysplasia,59159.0,31310.0
ROI_10,Dysplasia,59098.0,31431.0
ROI_10,Dysplasia,59098.0,31446.0
ROI_10,Dysplasia,59075.0,31484.0
ROI_10,Dysplasia,59060.0,31537.0
ROI_10,Dysplasia,58984.0,31651.0
ROI_10,Dysplasia,58901.0,31811.0
ROI_10,Dysplasia,58863.0,31864.0
ROI_10,Dysplasia,58749.0,32114.0
ROI_10,Dysplasia,58734.0,32183.0
ROI_10,Dysplasia,58726.0,32190.0
ROI_10,Dysplasia,58726.0,32221.0
ROI_10,Dysplasia,58711.0,32259.0
ROI_10,Dysplasia,58703.0,32312.0
ROI_10,Dysplasia,58696.0,32319.0
ROI_10,Dysplasia,58696.0,32342.0
ROI_10,Dysplasia,58688.0,32350.0
ROI_10,Dysplasia,58681.0,32403.0
ROI_10,Dysplasia,58605.0,32608.0
ROI_10,Dysplasia,58597.0,32668.0
ROI_10,Dysplasia,58590.0,32676.0
ROI_10,Dysplasia,58567.0,33056.0
ROI_10,Dysplasia,58559.0,33063.0
ROI_10,Dysplasia,58544.0,33139.0
ROI_10,Dysplasia,58476.0,33276.0
ROI_10,Dysplasia,58392.0,33397.0
ROI_10,Dysplasia,58339.0,33458.0
ROI_10,Dysplasia,58316.0,33511.0
ROI_10,Dysplasia,58248.0,33602.0
ROI_10,Dysplasia,58240.0,33625.0
ROI_10,Dysplasia,58225.0,33640.0
ROI_10,Dysplasia,58210.0,33686.0
ROI_10,Dysplasia,58142.0,33792.0
ROI_10,Dysplasia,58028.0,33928.0
ROI_10,Dysplasia,57967.0,33966.0
ROI_10,Dysplasia,57914.0,34020.0
ROI_10,Dysplasia,57830.0,34073.0
ROI_10,Dysplasia,57800.0,34080.0
ROI_10,Dysplasia,57736.0,34113.0
ROI_10,Dysplasia,57991.0,34205.0
ROI_10,Dysplasia,58085.0,34230.0
ROI_10,Dysplasia,58168.0,34237.0
ROI_10,Dysplasia,58251.0,34266.0
ROI_10,Dysplasia,58241.0,34331.0
ROI_10,Dysplasia,58208.0,34389.0
ROI_10,Dysplasia,58078.0,34545.0
ROI_10,Dysplasia,58020.0,34585.0
ROI_10,Dysplasia,57944.0,34617.0
ROI_10,Dysplasia,57784.0,34820.0
ROI_10,Dysplasia,57643.0,34914.0
ROI_10,Dysplasia,57528.0,34968.0
ROI_10,Dysplasia,57437.0,34997.0
ROI_10,Dysplasia,57408.0,35015.0
ROI_10,Dysplasia,57289.0,35124.0
ROI_10,Dysplasia,57139.0,35213.0
ROI_10,Dysplasia,57109.0,35242.0
ROI_10,Dysplasia,57087.0,35280.0
ROI_10,Dysplasia,57026.0,35340.0
ROI_10,Dysplasia,57003.0,35378.0
ROI_10,Dysplasia,56882.0,35492.0
ROI_10,Dysplasia,56775.0,35636.0
ROI_10,Dysplasia,56700.0,35811.0
ROI_10,Dysplasia,56570.0,35985.0
ROI_10,Dysplasia,56525.0,36023.0
ROI_10,Dysplasia,56502.0,36031.0
ROI_10,Dysplasia,56411.0,36092.0
ROI_10,Dysplasia,56350.0,36145.0
ROI_10,Dysplasia,56282.0,36190.0
ROI_10,Dysplasia,56237.0,36243.0
ROI_10,Dysplasia,56145.0,36373.0
ROI_10,Dysplasia,56092.0,36486.0
ROI_10,Dysplasia,56092.0,36502.0
ROI_10,Dysplasia,56001.0,36638.0
ROI_10,Dysplasia,55963.0,36722.0
ROI_10,Dysplasia,55887.0,36820.0
ROI_10,Dysplasia,55842.0,36904.0
ROI_10,Dysplasia,55743.0,37025.0
ROI_10,Dysplasia,55637.0,37124.0
ROI_10,Dysplasia,55531.0,37177.0
ROI_10,Dysplasia,55470.0,37223.0
ROI_10,Dysplasia,55409.0,37253.0
ROI_10,Dysplasia,55356.0,37306.0
ROI_10,Dysplasia,55243.0,37451.0
ROI_10,Dysplasia,55276.0,37581.0
ROI_10,Dysplasia,55139.0,37904.0
ROI_10,Dysplasia,55041.0,38012.0
ROI_10,Dysplasia,54951.0,38095.0
ROI_10,Dysplasia,54853.0,38168.0
ROI_10,Dysplasia,54712.0,38316.0
ROI_10,Dysplasia,54672.0,38342.0
ROI_10,Dysplasia,54552.0,38360.0
ROI_10,Dysplasia,54375.0,38414.0
ROI_10,Dysplasia,54306.0,38414.0
ROI_10,Dysplasia,54231.0,38399.0
ROI_10,Dysplasia,54195.0,38445.0
ROI_10,Dysplasia,54073.0,38559.0
ROI_10,Dysplasia,54035.0,38619.0
ROI_10,Dysplasia,53899.0,38786.0
ROI_10,Dysplasia,53785.0,38961.0
ROI_10,Dysplasia,53686.0,39052.0
ROI_10,Dysplasia,53580.0,39128.0
ROI_10,Dysplasia,53527.0,39151.0
ROI_10,Dysplasia,53428.0,39242.0
ROI_10,Dysplasia,53367.0,39280.0
ROI_10,Dysplasia,53284.0,39363.0
ROI_10,Dysplasia,53223.0,39409.0
ROI_10,Dysplasia,53185.0,39462.0
ROI_10,Dysplasia,53102.0,39538.0
ROI_10,Dysplasia,53049.0,39606.0
ROI_10,Dysplasia,53011.0,39629.0
ROI_10,Dysplasia,52912.0,39727.0
ROI_10,Dysplasia,52844.0,39773.0
ROI_10,Dysplasia,52639.0,39963.0
ROI_10,Dysplasia,52570.0,40008.0
ROI_10,Dysplasia,52479.0,40054.0
ROI_10,Dysplasia,52464.0,40069.0
ROI_10,Dysplasia,52388.0,40107.0
ROI_10,Dysplasia,52290.0,40137.0
ROI_10,Dysplasia,52130.0,40228.0
ROI_10,Dysplasia,51986.0,40289.0
ROI_10,Dysplasia,51902.0,40342.0
ROI_10,Dysplasia,51887.0,40342.0
ROI_10,Dysplasia,51842.0,40365.0
ROI_10,Dysplasia,51705.0,40395.0
ROI_10,Dysplasia,51629.0,40433.0
ROI_10,Dysplasia,51614.0,40449.0
ROI_10,Dysplasia,51470.0,40517.0
ROI_10,Dysplasia,51280.0,40646.0
ROI_10,Dysplasia,51197.0,40722.0
ROI_10,Dysplasia,51128.0,40752.0
ROI_10,Dysplasia,51014.0,40828.0
ROI_10,Dysplasia,50916.0,40874.0
ROI_10,Dysplasia,50863.0,40889.0
ROI_10,Dysplasia,50749.0,40965.0
ROI_10,Dysplasia,50673.0,41003.0
ROI_10,Dysplasia,50589.0,41079.0
ROI_10,Dysplasia,50529.0,41116.0
ROI_10,Dysplasia,50430.0,41208.0
ROI_10,Dysplasia,50324.0,41268.0
ROI_10,Dysplasia,50240.0,41329.0
ROI_10,Dysplasia,50119.0,41390.0
ROI_10,Dysplasia,50058.0,41435.0
ROI_10,Dysplasia,49997.0,41496.0
ROI_10,Dysplasia,49876.0,41648.0
ROI_10,Dysplasia,49694.0,41822.0
ROI_10,Dysplasia,49557.0,41936.0
ROI_10,Dysplasia,49443.0,42012.0
ROI_10,Dysplasia,49375.0,42080.0
ROI_10,Dysplasia,49314.0,42118.0
ROI_10,Dysplasia,49284.0,42149.0
ROI_10,Dysplasia,49117.0,42240.0
ROI_10,Dysplasia,49041.0,42308.0
ROI_10,Dysplasia,48995.0,42339.0
ROI_10,Dysplasia,48942.0,42361.0
ROI_10,Dysplasia,48866.0,42414.0
ROI_10,Dysplasia,48775.0,42460.0
ROI_10,Dysplasia,48760.0,42460.0
ROI_10,Dysplasia,48692.0,42490.0
ROI_10,Dysplasia,48570.0,42566.0
ROI_10,Dysplasia,48472.0,42612.0
ROI_10,Dysplasia,48365.0,42695.0
ROI_10,Dysplasia,48251.0,42756.0
ROI_10,Dysplasia,48221.0,42786.0
ROI_10,Dysplasia,48122.0,42847.0
ROI_10,Dysplasia,48016.0,42938.0
ROI_10,Dysplasia,47910.0,43006.0
ROI_10,Dysplasia,47796.0,43113.0
ROI_10,Dysplasia,47697.0,43265.0
ROI_10,Dysplasia,47637.0,43333.0
ROI_10,Dysplasia,47538.0,43485.0
ROI_10,Dysplasia,47485.0,43606.0
ROI_10,Dysplasia,47439.0,43674.0
ROI_10,Dysplasia,47386.0,43728.0
ROI_10,Dysplasia,47363.0,43766.0
ROI_10,Dysplasia,47257.0,43864.0
ROI_10,Dysplasia,47227.0,43910.0
ROI_10,Dysplasia,47151.0,43993.0
ROI_10,Dysplasia,47037.0,44191.0
ROI_10,Dysplasia,47037.0,44206.0
ROI_10,Dysplasia,46984.0,44327.0
ROI_10,Dysplasia,46893.0,44426.0
ROI_10,Dysplasia,46847.0,44449.0
ROI_10,Dysplasia,46293.0,44449.0
ROI_10,Dysplasia,46286.0,44456.0
ROI_10,Dysplasia,46232.0,44456.0
ROI_10,Dysplasia,46225.0,44464.0
ROI_10,Dysplasia,46194.0,44464.0
ROI_10,Dysplasia,46187.0,44471.0
ROI_10,Dysplasia,46156.0,44471.0
ROI_10,Dysplasia,46149.0,44479.0
ROI_10,Dysplasia,46058.0,44494.0
ROI_10,Dysplasia,45967.0,44525.0
ROI_10,Dysplasia,45845.0,44585.0
ROI_10,Dysplasia,45686.0,44730.0
ROI_10,Dysplasia,45648.0,44790.0
ROI_10,Dysplasia,45648.0,44805.0
ROI_10,Dysplasia,45580.0,44934.0
ROI_10,Dysplasia,45580.0,44950.0
