roi_name,label,x_base,y_base
ROI_0,Benign,12455.0,24896.0
ROI_0,Benign,12334.0,24903.0
ROI_0,Benign,12288.0,24919.0
ROI_0,Benign,12220.0,24957.0
ROI_0,Benign,12152.0,24979.0
ROI_0,Benign,12030.0,25002.0
ROI_0,Benign,11916.0,25048.0
ROI_0,Benign,11818.0,25063.0
ROI_0,Benign,11727.0,25086.0
ROI_0,Benign,11696.0,25101.0
ROI_0,Benign,11575.0,25116.0
ROI_0,Benign,11567.0,25124.0
ROI_0,Benign,11286.0,25146.0
ROI_0,Benign,11173.0,25184.0
ROI_0,Benign,11074.0,25200.0
ROI_0,Benign,11013.0,25222.0
ROI_0,Benign,10930.0,25237.0
ROI_0,Benign,10725.0,25321.0
ROI_0,Benign,10687.0,25321.0
ROI_0,Benign,10679.0,25329.0
ROI_0,Benign,10649.0,25329.0
ROI_0,Benign,10603.0,25344.0
ROI_0,Benign,10497.0,25397.0
ROI_0,Benign,10368.0,25412.0
ROI_0,Benign,10277.0,25442.0
ROI_0,Benign,10193.0,25488.0
ROI_0,Benign,10140.0,25503.0
ROI_0,Benign,10110.0,25503.0
ROI_0,Benign,10087.0,25518.0
ROI_0,Benign,10019.0,25533.0
ROI_0,Benign,9905.0,25579.0
ROI_0,Benign,9837.0,25587.0
ROI_0,Benign,9753.0,25609.0
ROI_0,Benign,9700.0,25609.0
ROI_0,Benign,9692.0,25617.0
ROI_0,Benign,9662.0,25617.0
ROI_0,Benign,9601.0,25640.0
ROI_0,Benign,9518.0,25647.0
ROI_0,Benign,9472.0,25663.0
ROI_0,Benign,9381.0,25670.0
ROI_0,Benign,9343.0,25685.0
ROI_0,Benign,9207.0,25708.0
ROI_0,Benign,9161.0,25731.0
ROI_0,Benign,9017.0,25776.0
ROI_0,Benign,8926.0,25830.0
ROI_0,Benign,8888.0,25837.0
ROI_0,Benign,8835.0,25867.0
ROI_0,Benign,8820.0,25867.0
ROI_0,Benign,8744.0,25921.0
ROI_0,Benign,8690.0,25936.0
ROI_0,Benign,8675.0,25951.0
ROI_0,Benign,8630.0,25966.0
ROI_0,Benign,8615.0,25981.0
ROI_0,Benign,8486.0,26019.0
ROI_0,Benign,8410.0,26065.0
ROI_0,Benign,8334.0,26080.0
ROI_0,Benign,8281.0,26110.0
ROI_0,Benign,8235.0,26148.0
ROI_0,Benign,8167.0,26171.0
ROI_0,Benign,7977.0,26262.0
ROI_0,Benign,7962.0,26262.0
ROI_0,Benign,7840.0,26338.0
ROI_0,Benign,7780.0,26361.0
ROI_0,Benign,7643.0,26490.0
ROI_0,Benign,7605.0,26558.0
ROI_0,Benign,7582.0,26626.0
ROI_0,Benign,7575.0,26740.0
ROI_0,Benign,7544.0,26831.0
ROI_0,Benign,7529.0,26854.0
ROI_0,Benign,7529.0,26885.0
ROI_0,Benign,7499.0,26991.0
ROI_0,Benign,7499.0,27021.0
ROI_0,Benign,7476.0,27082.0
ROI_0,Benign,7461.0,27165.0
ROI_0,Benign,7453.0,27173.0
ROI_0,Benign,7446.0,27264.0
ROI_0,Benign,7438.0,27272.0
ROI_0,Benign,7423.0,27401.0
ROI_0,Benign,7415.0,27408.0
ROI_0,Benign,7415.0,27446.0
ROI_0,Benign,7408.0,27454.0
ROI_0,Benign,7408.0,27613.0
ROI_0,Benign,7415.0,27621.0
ROI_0,Benign,7415.0,27682.0
ROI_0,Benign,7423.0,27689.0
ROI_0,Benign,7415.0,27742.0
ROI_0,Benign,7423.0,27750.0
