roi_name,label,x_base,y_base
ROI_0,Benign,31545.0,7165.0
ROI_0,Benign,31537.0,7172.0
ROI_0,Benign,31348.0,7172.0
ROI_0,Benign,31340.0,7180.0
ROI_0,Benign,31295.0,7180.0
ROI_0,Benign,31287.0,7188.0
ROI_0,Benign,31249.0,7188.0
ROI_0,Benign,31241.0,7195.0
ROI_0,Benign,31181.0,7203.0
ROI_0,Benign,31120.0,7233.0
ROI_0,Benign,31014.0,7241.0
ROI_0,Benign,31006.0,7248.0
ROI_0,Benign,30968.0,7248.0
ROI_0,Benign,30961.0,7256.0
ROI_0,Benign,30740.0,7263.0
ROI_0,Benign,30733.0,7271.0
ROI_0,Benign,30573.0,7286.0
ROI_0,Benign,30376.0,7362.0
ROI_0,Benign,30103.0,7355.0
ROI_0,Benign,30035.0,7377.0
ROI_0,Benign,30019.0,7393.0
ROI_0,Benign,29921.0,7385.0
ROI_0,Benign,29913.0,7393.0
ROI_0,Benign,29799.0,7393.0
ROI_0,Benign,29792.0,7400.0
ROI_0,Benign,29716.0,7408.0
ROI_0,Benign,29708.0,7415.0
ROI_0,Benign,29625.0,7415.0
ROI_0,Benign,29617.0,7423.0
ROI_0,Benign,29556.0,7430.0
ROI_0,Benign,29496.0,7468.0
ROI_0,Benign,29473.0,7468.0
ROI_0,Benign,29465.0,7476.0
ROI_0,Benign,29412.0,7476.0
ROI_0,Benign,29405.0,7484.0
ROI_0,Benign,29291.0,7499.0
ROI_0,Benign,29184.0,7529.0
ROI_0,Benign,29071.0,7537.0
ROI_0,Benign,29063.0,7544.0
ROI_0,Benign,28995.0,7552.0
ROI_0,Benign,28987.0,7560.0
ROI_0,Benign,28896.0,7567.0
ROI_0,Benign,28813.0,7597.0
ROI_0,Benign,28752.0,7605.0
ROI_0,Benign,28683.0,7628.0
ROI_0,Benign,28570.0,7628.0
ROI_0,Benign,28562.0,7635.0
ROI_0,Benign,28494.0,7635.0
ROI_0,Benign,28486.0,7643.0
ROI_0,Benign,28342.0,7643.0
ROI_0,Benign,28334.0,7651.0
ROI_0,Benign,28266.0,7658.0
ROI_0,Benign,28205.0,7689.0
ROI_0,Benign,28031.0,7689.0
ROI_0,Benign,28023.0,7696.0
ROI_0,Benign,27993.0,7696.0
ROI_0,Benign,27841.0,7749.0
ROI_0,Benign,27780.0,7757.0
ROI_0,Benign,27773.0,7764.0
ROI_0,Benign,27735.0,7764.0
ROI_0,Benign,27727.0,7772.0
ROI_0,Benign,27689.0,7772.0
ROI_0,Benign,27606.0,7810.0
ROI_0,Benign,27575.0,7810.0
ROI_0,Benign,27507.0,7833.0
ROI_0,Benign,27454.0,7840.0
ROI_0,Benign,27423.0,7856.0
ROI_0,Benign,27332.0,7871.0
ROI_0,Benign,27241.0,7901.0
ROI_0,Benign,27143.0,7901.0
ROI_0,Benign,27120.0,7909.0
ROI_0,Benign,27067.0,7969.0
ROI_0,Benign,27036.0,7992.0
ROI_0,Benign,26983.0,8000.0
ROI_0,Benign,26976.0,8007.0
ROI_0,Benign,26938.0,8007.0
ROI_0,Benign,26930.0,8015.0
ROI_0,Benign,26877.0,8015.0
ROI_0,Benign,26869.0,8023.0
ROI_0,Benign,26786.0,8030.0
ROI_0,Benign,26687.0,8076.0
ROI_0,Benign,26634.0,8114.0
ROI_0,Benign,26558.0,8136.0
ROI_0,Benign,26429.0,8144.0
ROI_0,Benign,26315.0,8182.0
ROI_0,Benign,26293.0,8197.0
ROI_0,Benign,26270.0,8197.0
ROI_0,Benign,26217.0,8220.0
ROI_0,Benign,26194.0,8220.0
ROI_0,Benign,26110.0,8258.0
