roi_name,label,x_base,y_base
ROI_1,Benign,37243.0,10916.0
ROI_1,Benign,37219.0,10916.0
ROI_1,Benign,37195.0,10932.0
ROI_1,Benign,37140.0,11003.0
ROI_1,Benign,37101.0,11090.0
ROI_1,Benign,37101.0,11145.0
ROI_1,Benign,37093.0,11153.0
ROI_1,Benign,37101.0,11358.0
ROI_1,Benign,37109.0,11366.0
ROI_1,Benign,37109.0,11398.0
ROI_1,Benign,37124.0,11437.0
ROI_1,Benign,37132.0,11516.0
ROI_1,Benign,37156.0,11563.0
ROI_1,Benign,37156.0,11579.0
ROI_1,Benign,37180.0,11611.0
ROI_1,Benign,37187.0,11650.0
ROI_1,Benign,37203.0,11666.0
ROI_1,Benign,37211.0,11690.0
ROI_1,Benign,37251.0,11729.0
ROI_1,Benign,37298.0,11824.0
ROI_1,Benign,37377.0,11911.0
ROI_1,Benign,37393.0,11943.0
ROI_1,Benign,37393.0,12014.0
ROI_1,Benign,37385.0,12022.0
ROI_1,Benign,37377.0,12085.0
ROI_1,Benign,37353.0,12109.0
ROI_1,Benign,37330.0,12116.0
ROI_1,Benign,37290.0,12148.0
ROI_1,Benign,37243.0,12164.0
ROI_1,Benign,37116.0,12180.0
ROI_1,Benign,37077.0,12195.0
ROI_1,Benign,37030.0,12195.0
ROI_1,Benign,37022.0,12203.0
ROI_1,Benign,36958.0,12203.0
ROI_1,Benign,36919.0,12219.0
ROI_1,Benign,36879.0,12219.0
ROI_1,Benign,36872.0,12227.0
ROI_1,Benign,36816.0,12227.0
ROI_1,Benign,36808.0,12235.0
ROI_1,Benign,36745.0,12243.0
ROI_1,Benign,36714.0,12259.0
ROI_1,Benign,36563.0,12401.0
ROI_1,Benign,36540.0,12432.0
ROI_1,Benign,36540.0,12448.0
ROI_1,Benign,36516.0,12480.0
ROI_1,Benign,36500.0,12519.0
ROI_1,Benign,36453.0,12575.0
ROI_1,Benign,36437.0,12606.0
ROI_1,Benign,36398.0,12654.0
ROI_1,Benign,36382.0,12661.0
ROI_1,Benign,36358.0,12709.0
ROI_1,Benign,36287.0,12772.0
ROI_1,Benign,36255.0,12812.0
ROI_1,Benign,36232.0,12898.0
ROI_1,Benign,36216.0,12922.0
ROI_1,Benign,36216.0,13033.0
ROI_1,Benign,36224.0,13041.0
ROI_1,Benign,36224.0,13072.0
ROI_1,Benign,36263.0,13159.0
ROI_1,Benign,36287.0,13183.0
ROI_1,Benign,36295.0,13206.0
ROI_1,Benign,36374.0,13285.0
ROI_1,Benign,36421.0,13412.0
ROI_1,Benign,36421.0,13483.0
ROI_1,Benign,36374.0,13538.0
ROI_1,Benign,36350.0,13554.0
ROI_1,Benign,36279.0,13554.0
ROI_1,Benign,36271.0,13546.0
ROI_1,Benign,36240.0,13546.0
ROI_1,Benign,36200.0,13530.0
ROI_1,Benign,36145.0,13522.0
ROI_1,Benign,36090.0,13499.0
ROI_1,Benign,36034.0,13491.0
ROI_1,Benign,35963.0,13428.0
ROI_1,Benign,35939.0,13420.0
ROI_1,Benign,35908.0,13380.0
ROI_1,Benign,35876.0,13364.0
ROI_1,Benign,35845.0,13317.0
ROI_1,Benign,35742.0,13230.0
ROI_1,Benign,35718.0,13183.0
ROI_1,Benign,35671.0,13143.0
ROI_1,Benign,35671.0,13135.0
ROI_1,Benign,35616.0,13080.0
ROI_1,Benign,35592.0,13033.0
ROI_1,Benign,35552.0,13001.0
ROI_1,Benign,35458.0,12930.0
ROI_1,Benign,35379.0,12922.0
ROI_1,Benign,35371.0,12914.0
ROI_1,Benign,35308.0,12914.0
ROI_1,Benign,35300.0,12922.0
ROI_1,Benign,35268.0,12922.0
ROI_1,Benign,35260.0,12930.0
ROI_1,Benign,35236.0,12930.0
ROI_1,Benign,35189.0,12946.0
ROI_1,Benign,35142.0,12985.0
ROI_1,Benign,35126.0,12985.0
ROI_1,Benign,35094.0,13009.0
ROI_1,Benign,35063.0,13017.0
ROI_1,Benign,35023.0,13041.0
ROI_1,Benign,34984.0,13048.0
ROI_1,Benign,34968.0,13064.0
ROI_1,Benign,34936.0,13072.0
ROI_1,Benign,34881.0,13112.0
ROI_1,Benign,34857.0,13112.0
ROI_1,Benign,34834.0,13127.0
ROI_1,Benign,34794.0,13135.0
ROI_1,Benign,34770.0,13151.0
ROI_1,Benign,34731.0,13159.0
ROI_1,Benign,34684.0,13183.0
ROI_1,Benign,34636.0,13238.0
ROI_1,Benign,34549.0,13317.0
ROI_1,Benign,34526.0,13364.0
ROI_1,Benign,34383.0,13522.0
ROI_1,Benign,34336.0,13546.0
ROI_1,Benign,34289.0,13554.0
ROI_1,Benign,34257.0,13570.0
ROI_1,Benign,34060.0,13593.0
ROI_1,Benign,34052.0,13601.0
ROI_1,Benign,34004.0,13601.0
ROI_1,Benign,33996.0,13609.0
ROI_1,Benign,33870.0,13617.0
ROI_1,Benign,33862.0,13625.0
ROI_1,Benign,33799.0,13625.0
ROI_1,Benign,33791.0,13633.0
ROI_1,Benign,33736.0,13633.0
