roi_name,label,x_base,y_base
ROI_13,Benign,34265.0,11714.0
ROI_13,Benign,34107.0,11785.0
ROI_13,Benign,33988.0,11864.0
ROI_13,Benign,33902.0,11935.0
ROI_13,Benign,33854.0,12045.0
ROI_13,Benign,33854.0,12085.0
ROI_13,Benign,33846.0,12093.0
ROI_13,Benign,33846.0,12195.0
ROI_13,Benign,33823.0,12251.0
ROI_13,Benign,33783.0,12290.0
ROI_13,Benign,33767.0,12330.0
ROI_13,Benign,33665.0,12424.0
ROI_13,Benign,33633.0,12496.0
ROI_13,Benign,33593.0,12543.0
ROI_13,Benign,33546.0,12677.0
ROI_13,Benign,33554.0,12835.0
ROI_13,Benign,33586.0,12898.0
ROI_13,Benign,33593.0,12969.0
ROI_13,Benign,33633.0,13048.0
ROI_13,Benign,33633.0,13112.0
ROI_13,Benign,33617.0,13143.0
ROI_13,Benign,33586.0,13175.0
ROI_13,Benign,33562.0,13183.0
ROI_13,Benign,33515.0,13183.0
ROI_13,Benign,33436.0,13143.0
ROI_13,Benign,33404.0,13135.0
ROI_13,Benign,33341.0,13072.0
ROI_13,Benign,33317.0,13025.0
ROI_13,Benign,33262.0,12969.0
ROI_13,Benign,33246.0,12930.0
ROI_13,Benign,33214.0,12906.0
ROI_13,Benign,33183.0,12867.0
ROI_13,Benign,33151.0,12851.0
ROI_13,Benign,33104.0,12788.0
ROI_13,Benign,33033.0,12733.0
ROI_13,Benign,32985.0,12677.0
ROI_13,Benign,32922.0,12622.0
ROI_13,Benign,32890.0,12614.0
ROI_13,Benign,32804.0,12559.0
ROI_13,Benign,32740.0,12551.0
ROI_13,Benign,32733.0,12543.0
ROI_13,Benign,32614.0,12535.0
ROI_13,Benign,32606.0,12543.0
ROI_13,Benign,32551.0,12543.0
ROI_13,Benign,32543.0,12551.0
ROI_13,Benign,32519.0,12551.0
ROI_13,Benign,32424.0,12606.0
ROI_13,Benign,32393.0,12606.0
ROI_13,Benign,32298.0,12661.0
ROI_13,Benign,32227.0,12669.0
ROI_13,Benign,32219.0,12677.0
ROI_13,Benign,31943.0,12669.0
ROI_13,Benign,31935.0,12677.0
ROI_13,Benign,31887.0,12677.0
ROI_13,Benign,31840.0,12693.0
ROI_13,Benign,31658.0,12693.0
ROI_13,Benign,31650.0,12685.0
ROI_13,Benign,31516.0,12677.0
ROI_13,Benign,31508.0,12685.0
ROI_13,Benign,31398.0,12693.0
ROI_13,Benign,31311.0,12725.0
ROI_13,Benign,31255.0,12725.0
ROI_13,Benign,31248.0,12733.0
ROI_13,Benign,31145.0,12740.0
ROI_13,Benign,31105.0,12756.0
ROI_13,Benign,31074.0,12756.0
ROI_13,Benign,31042.0,12772.0
