roi_name,label,x_base,y_base
ROI_2,Dysplasia,28246.0,25244.0
ROI_2,Dysplasia,28238.0,25252.0
ROI_2,Dysplasia,28175.0,25260.0
ROI_2,Dysplasia,28104.0,25284.0
ROI_2,Dysplasia,28072.0,25284.0
ROI_2,Dysplasia,28048.0,25300.0
ROI_2,Dysplasia,28009.0,25308.0
ROI_2,Dysplasia,27938.0,25347.0
ROI_2,Dysplasia,27788.0,25450.0
ROI_2,Dysplasia,27646.0,25592.0
ROI_2,Dysplasia,27559.0,25647.0
ROI_2,Dysplasia,27440.0,25742.0
ROI_2,Dysplasia,27361.0,25774.0
ROI_2,Dysplasia,27290.0,25781.0
ROI_2,Dysplasia,27243.0,25797.0
ROI_2,Dysplasia,27203.0,25797.0
ROI_2,Dysplasia,27195.0,25805.0
ROI_2,Dysplasia,27156.0,25805.0
ROI_2,Dysplasia,27148.0,25813.0
ROI_2,Dysplasia,27116.0,25813.0
ROI_2,Dysplasia,27037.0,25845.0
ROI_2,Dysplasia,26951.0,25860.0
ROI_2,Dysplasia,26919.0,25876.0
ROI_2,Dysplasia,26895.0,25876.0
ROI_2,Dysplasia,26714.0,25963.0
ROI_2,Dysplasia,26658.0,26003.0
ROI_2,Dysplasia,26611.0,26050.0
ROI_2,Dysplasia,26595.0,26050.0
ROI_2,Dysplasia,26540.0,26082.0
ROI_2,Dysplasia,26524.0,26082.0
ROI_2,Dysplasia,26390.0,26208.0
ROI_2,Dysplasia,26342.0,26263.0
ROI_2,Dysplasia,26240.0,26421.0
ROI_2,Dysplasia,26240.0,26437.0
ROI_2,Dysplasia,26216.0,26477.0
ROI_2,Dysplasia,26208.0,26524.0
ROI_2,Dysplasia,26192.0,26556.0
ROI_2,Dysplasia,26184.0,26619.0
ROI_2,Dysplasia,26176.0,26627.0
ROI_2,Dysplasia,26169.0,26706.0
ROI_2,Dysplasia,26161.0,26714.0
ROI_2,Dysplasia,26161.0,26856.0
ROI_2,Dysplasia,26169.0,26864.0
ROI_2,Dysplasia,26169.0,26919.0
ROI_2,Dysplasia,26208.0,27014.0
ROI_2,Dysplasia,26232.0,27037.0
ROI_2,Dysplasia,26271.0,27037.0
ROI_2,Dysplasia,26279.0,27045.0
ROI_2,Dysplasia,26342.0,27045.0
ROI_2,Dysplasia,26350.0,27037.0
ROI_2,Dysplasia,26374.0,27045.0
ROI_2,Dysplasia,26421.0,27045.0
ROI_2,Dysplasia,26484.0,27022.0
ROI_2,Dysplasia,26548.0,26966.0
ROI_2,Dysplasia,26571.0,26958.0
ROI_2,Dysplasia,26642.0,26887.0
ROI_2,Dysplasia,26650.0,26864.0
ROI_2,Dysplasia,26753.0,26729.0
ROI_2,Dysplasia,26785.0,26674.0
ROI_2,Dysplasia,26903.0,26571.0
ROI_2,Dysplasia,26966.0,26540.0
ROI_2,Dysplasia,27061.0,26508.0
ROI_2,Dysplasia,27140.0,26500.0
ROI_2,Dysplasia,27203.0,26477.0
ROI_2,Dysplasia,27251.0,26477.0
ROI_2,Dysplasia,27259.0,26469.0
ROI_2,Dysplasia,27314.0,26461.0
ROI_2,Dysplasia,27345.0,26445.0
ROI_2,Dysplasia,27401.0,26445.0
ROI_2,Dysplasia,27409.0,26437.0
ROI_2,Dysplasia,27448.0,26437.0
ROI_2,Dysplasia,27456.0,26429.0
ROI_2,Dysplasia,27496.0,26429.0
ROI_2,Dysplasia,27519.0,26413.0
ROI_2,Dysplasia,27614.0,26382.0
ROI_2,Dysplasia,27646.0,26358.0
ROI_2,Dysplasia,27669.0,26311.0
ROI_2,Dysplasia,27669.0,26287.0
ROI_2,Dysplasia,27693.0,26240.0
ROI_2,Dysplasia,27701.0,26200.0
ROI_2,Dysplasia,27685.0,26161.0
ROI_2,Dysplasia,27638.0,26105.0
ROI_2,Dysplasia,27630.0,26074.0
ROI_2,Dysplasia,27606.0,26042.0
ROI_2,Dysplasia,27606.0,25979.0
ROI_2,Dysplasia,27646.0,25947.0
ROI_2,Dysplasia,27646.0,25939.0
ROI_2,Dysplasia,27685.0,25900.0
ROI_2,Dysplasia,27748.0,25868.0
ROI_2,Dysplasia,27780.0,25868.0
ROI_2,Dysplasia,27812.0,25853.0
ROI_2,Dysplasia,27851.0,25853.0
ROI_2,Dysplasia,27859.0,25845.0
ROI_2,Dysplasia,28025.0,25829.0
ROI_2,Dysplasia,28033.0,25837.0
ROI_2,Dysplasia,28096.0,25845.0
ROI_2,Dysplasia,28167.0,25876.0
ROI_2,Dysplasia,28238.0,25884.0
ROI_2,Dysplasia,28270.0,25900.0
ROI_2,Dysplasia,28301.0,25900.0
ROI_2,Dysplasia,28341.0,25916.0
ROI_2,Dysplasia,28515.0,25908.0
ROI_2,Dysplasia,28522.0,25900.0
ROI_2,Dysplasia,28562.0,25900.0
ROI_2,Dysplasia,28609.0,25884.0
ROI_2,Dysplasia,28720.0,25876.0
ROI_2,Dysplasia,28728.0,25868.0
ROI_2,Dysplasia,28846.0,25876.0
ROI_2,Dysplasia,28854.0,25884.0
ROI_2,Dysplasia,28941.0,25900.0
ROI_2,Dysplasia,29075.0,25963.0
ROI_2,Dysplasia,29091.0,25963.0
ROI_2,Dysplasia,29344.0,26145.0
ROI_2,Dysplasia,29407.0,26208.0
ROI_2,Dysplasia,29462.0,26248.0
ROI_2,Dysplasia,29549.0,26334.0
ROI_2,Dysplasia,29628.0,26445.0
ROI_2,Dysplasia,29668.0,26524.0
ROI_2,Dysplasia,29668.0,26540.0
ROI_2,Dysplasia,29723.0,26642.0
ROI_2,Dysplasia,29810.0,26737.0
ROI_2,Dysplasia,29849.0,26769.0
ROI_2,Dysplasia,29992.0,26848.0
ROI_2,Dysplasia,30007.0,26848.0
ROI_2,Dysplasia,30118.0,26903.0
ROI_2,Dysplasia,30308.0,26966.0
ROI_2,Dysplasia,30434.0,27030.0
ROI_2,Dysplasia,30584.0,27077.0
ROI_2,Dysplasia,30695.0,27156.0
ROI_2,Dysplasia,30750.0,27211.0
ROI_2,Dysplasia,30781.0,27274.0
ROI_2,Dysplasia,30924.0,27393.0
