roi_name,label,x_base,y_base
ROI_7,Benign,4336.0,25426.0
ROI_7,Benign,4360.0,25497.0
ROI_7,Benign,4407.0,25592.0
ROI_7,Benign,4431.0,25679.0
ROI_7,Benign,4486.0,25774.0
ROI_7,Benign,4486.0,25789.0
ROI_7,Benign,4518.0,25853.0
ROI_7,Benign,4549.0,25892.0
ROI_7,Benign,4581.0,25971.0
ROI_7,Benign,4676.0,26074.0
ROI_7,Benign,4763.0,26248.0
ROI_7,Benign,4810.0,26311.0
ROI_7,Benign,4842.0,26406.0
ROI_7,Benign,4881.0,26477.0
ROI_7,Benign,4913.0,26516.0
ROI_7,Benign,4936.0,26563.0
ROI_7,Benign,4944.0,26611.0
ROI_7,Benign,5015.0,26721.0
ROI_7,Benign,5047.0,26816.0
ROI_7,Benign,5071.0,26864.0
ROI_7,Benign,5110.0,26911.0
ROI_7,Benign,5150.0,27022.0
ROI_7,Benign,5221.0,27116.0
ROI_7,Benign,5252.0,27187.0
ROI_7,Benign,5315.0,27274.0
ROI_7,Benign,5418.0,27353.0
ROI_7,Benign,5489.0,27377.0
ROI_7,Benign,5608.0,27432.0
ROI_7,Benign,5703.0,27456.0
ROI_7,Benign,5766.0,27488.0
ROI_7,Benign,5789.0,27488.0
ROI_7,Benign,5845.0,27511.0
ROI_7,Benign,5932.0,27527.0
ROI_7,Benign,5971.0,27543.0
ROI_7,Benign,6042.0,27551.0
ROI_7,Benign,6090.0,27575.0
ROI_7,Benign,6153.0,27590.0
ROI_7,Benign,6176.0,27606.0
ROI_7,Benign,6350.0,27638.0
ROI_7,Benign,6492.0,27685.0
ROI_7,Benign,6587.0,27693.0
ROI_7,Benign,6595.0,27701.0
ROI_7,Benign,6674.0,27701.0
ROI_7,Benign,6682.0,27709.0
ROI_7,Benign,6745.0,27709.0
ROI_7,Benign,6753.0,27701.0
ROI_7,Benign,7014.0,27701.0
ROI_7,Benign,7030.0,27709.0
ROI_7,Benign,7037.0,27701.0
ROI_7,Benign,7148.0,27701.0
ROI_7,Benign,7195.0,27685.0
ROI_7,Benign,7369.0,27677.0
ROI_7,Benign,7377.0,27669.0
ROI_7,Benign,7432.0,27669.0
ROI_7,Benign,7440.0,27661.0
ROI_7,Benign,7488.0,27661.0
ROI_7,Benign,7496.0,27654.0
ROI_7,Benign,7559.0,27654.0
ROI_7,Benign,7630.0,27630.0
ROI_7,Benign,7654.0,27614.0
ROI_7,Benign,7740.0,27590.0
ROI_7,Benign,7796.0,27559.0
ROI_7,Benign,7890.0,27527.0
ROI_7,Benign,7938.0,27496.0
ROI_7,Benign,8009.0,27424.0
ROI_7,Benign,8041.0,27409.0
ROI_7,Benign,8246.0,27203.0
ROI_7,Benign,8285.0,27187.0
ROI_7,Benign,8341.0,27148.0
ROI_7,Benign,8412.0,27069.0
ROI_7,Benign,8412.0,27061.0
ROI_7,Benign,8578.0,26895.0
ROI_7,Benign,8617.0,26832.0
ROI_7,Benign,8688.0,26753.0
ROI_7,Benign,8759.0,26642.0
ROI_7,Benign,8783.0,26619.0
ROI_7,Benign,8799.0,26579.0
ROI_7,Benign,8823.0,26556.0
ROI_7,Benign,8846.0,26508.0
ROI_7,Benign,8846.0,26492.0
ROI_7,Benign,8878.0,26437.0
ROI_7,Benign,8878.0,26421.0
ROI_7,Benign,8894.0,26406.0
ROI_7,Benign,8917.0,26350.0
ROI_7,Benign,8949.0,26311.0
ROI_7,Benign,8957.0,26287.0
ROI_7,Benign,9004.0,26216.0
ROI_7,Benign,9052.0,26161.0
ROI_7,Benign,9099.0,26050.0
ROI_7,Benign,9194.0,25908.0
ROI_7,Benign,9225.0,25845.0
ROI_7,Benign,9225.0,25829.0
ROI_7,Benign,9241.0,25813.0
ROI_7,Benign,9241.0,25797.0
ROI_7,Benign,9273.0,25734.0
ROI_7,Benign,9281.0,25687.0
ROI_7,Benign,9289.0,25679.0
ROI_7,Benign,9296.0,25576.0
ROI_7,Benign,9304.0,25568.0
ROI_7,Benign,9312.0,25505.0
ROI_7,Benign,9328.0,25481.0
ROI_7,Benign,9328.0,25466.0
ROI_7,Benign,9426.0,25295.0
ROI_7,Benign,8856.0,25044.0
ROI_7,Benign,8799.0,25197.0
ROI_7,Benign,8775.0,25244.0
ROI_7,Benign,8767.0,25339.0
ROI_7,Benign,8759.0,25347.0
ROI_7,Benign,8744.0,25450.0
ROI_7,Benign,8736.0,25458.0
ROI_7,Benign,8736.0,25489.0
ROI_7,Benign,8688.0,25592.0
ROI_7,Benign,8688.0,25608.0
ROI_7,Benign,8625.0,25726.0
ROI_7,Benign,8467.0,25924.0
ROI_7,Benign,8388.0,26050.0
ROI_7,Benign,8325.0,26121.0
ROI_7,Benign,8301.0,26161.0
ROI_7,Benign,8246.0,26216.0
ROI_7,Benign,8159.0,26271.0
ROI_7,Benign,8151.0,26287.0
ROI_7,Benign,8080.0,26342.0
ROI_7,Benign,7954.0,26469.0
ROI_7,Benign,7804.0,26571.0
ROI_7,Benign,7725.0,26635.0
ROI_7,Benign,7685.0,26650.0
ROI_7,Benign,7630.0,26698.0
ROI_7,Benign,7582.0,26721.0
ROI_7,Benign,7511.0,26777.0
ROI_7,Benign,7472.0,26793.0
ROI_7,Benign,7369.0,26864.0
ROI_7,Benign,7282.0,26903.0
ROI_7,Benign,7243.0,26935.0
ROI_7,Benign,7227.0,26935.0
ROI_7,Benign,7172.0,26966.0
ROI_7,Benign,7030.0,27014.0
ROI_7,Benign,7006.0,27030.0
ROI_7,Benign,6951.0,27037.0
ROI_7,Benign,6919.0,27053.0
ROI_7,Benign,6840.0,27061.0
ROI_7,Benign,6832.0,27069.0
ROI_7,Benign,6745.0,27069.0
ROI_7,Benign,6737.0,27077.0
ROI_7,Benign,6619.0,27077.0
ROI_7,Benign,6611.0,27069.0
ROI_7,Benign,6556.0,27069.0
ROI_7,Benign,6548.0,27061.0
ROI_7,Benign,6461.0,27061.0
ROI_7,Benign,6453.0,27053.0
ROI_7,Benign,6421.0,27053.0
ROI_7,Benign,6413.0,27045.0
ROI_7,Benign,6358.0,27037.0
ROI_7,Benign,6263.0,27006.0
ROI_7,Benign,6137.0,26943.0
ROI_7,Benign,5995.0,26832.0
ROI_7,Benign,5955.0,26793.0
ROI_7,Benign,5955.0,26785.0
ROI_7,Benign,5868.0,26706.0
ROI_7,Benign,5821.0,26627.0
ROI_7,Benign,5766.0,26563.0
ROI_7,Benign,5734.0,26500.0
ROI_7,Benign,5718.0,26484.0
ROI_7,Benign,5679.0,26390.0
ROI_7,Benign,5639.0,26334.0
ROI_7,Benign,5608.0,26271.0
ROI_7,Benign,5568.0,26153.0
ROI_7,Benign,5489.0,26011.0
ROI_7,Benign,5473.0,25995.0
