roi_name,label,x_base,y_base
ROI_17,Invasive carcinoma,60996,7248
ROI_17,Invasive carcinoma,60935,7241
ROI_17,Invasive carcinoma,60927,7233
ROI_17,Invasive carcinoma,60760,7233
ROI_17,Invasive carcinoma,60753,7241
ROI_17,Invasive carcinoma,60684,7241
ROI_17,Invasive carcinoma,60677,7233
ROI_17,Invasive carcinoma,60593,7233
ROI_17,Invasive carcinoma,60586,7226
ROI_17,Invasive carcinoma,60404,7226
ROI_17,Invasive carcinoma,60396,7233
ROI_17,Invasive carcinoma,60328,7233
ROI_17,Invasive carcinoma,60320,7241
ROI_17,Invasive carcinoma,60244,7241
ROI_17,Invasive carcinoma,60199,7256
ROI_17,Invasive carcinoma,60168,7256
ROI_17,Invasive carcinoma,60085,7286
ROI_17,Invasive carcinoma,59986,7294
ROI_17,Invasive carcinoma,59979,7286
ROI_17,Invasive carcinoma,59872,7279
ROI_17,Invasive carcinoma,59751,7218
ROI_17,Invasive carcinoma,59660,7203
ROI_17,Invasive carcinoma,59652,7195
ROI_17,Invasive carcinoma,59599,7195
ROI_17,Invasive carcinoma,59591,7188
ROI_17,Invasive carcinoma,59456.4602272727,7192.98295454546
ROI_17,Invasive carcinoma,59452,7135
ROI_17,Invasive carcinoma,59440,7147
ROI_17,Invasive carcinoma,59392,7147
ROI_17,Invasive carcinoma,59093,7207
ROI_17,Invasive carcinoma,58949,7267
ROI_17,Invasive carcinoma,58854,7279
ROI_17,Invasive carcinoma,58782,7303
ROI_17,Invasive carcinoma,58710,7339
ROI_17,Invasive carcinoma,58614,7363
ROI_17,Invasive carcinoma,58387,7483
ROI_17,Invasive carcinoma,58279,7602
ROI_17,Invasive carcinoma,58123,7722
ROI_17,Invasive carcinoma,58190,7670
ROI_17,Invasive carcinoma,58149,7689
ROI_17,Invasive carcinoma,58127,7711
ROI_17,Invasive carcinoma,58035,7764
ROI_17,Invasive carcinoma,57914,7886
ROI_17,Invasive carcinoma,57899,7924
ROI_17,Invasive carcinoma,57876,7954
ROI_17,Invasive carcinoma,57876,7969
ROI_17,Invasive carcinoma,57846,8030
ROI_17,Invasive carcinoma,57830,8045
ROI_17,Invasive carcinoma,57815,8114
ROI_17,Invasive carcinoma,57800,8144
ROI_17,Invasive carcinoma,57793,8197
ROI_17,Invasive carcinoma,57770,8250
ROI_17,Invasive carcinoma,57755,8311
ROI_17,Invasive carcinoma,57755,8569
ROI_17,Invasive carcinoma,57777,8660
ROI_17,Invasive carcinoma,57777,8698
ROI_17,Invasive carcinoma,57823,8835
ROI_17,Invasive carcinoma,57868,8933
ROI_17,Invasive carcinoma,57899,8979
ROI_17,Invasive carcinoma,57914,9032
ROI_17,Invasive carcinoma,57937,9070
ROI_17,Invasive carcinoma,57944,9100
ROI_17,Invasive carcinoma,57960,9116
ROI_17,Invasive carcinoma,57990,9214
ROI_17,Invasive carcinoma,58005,9237
ROI_17,Invasive carcinoma,58164,9396
ROI_17,Invasive carcinoma,58218,9419
ROI_17,Invasive carcinoma,58256,9419
ROI_17,Invasive carcinoma,58324,9457
ROI_17,Invasive carcinoma,58392,9518
ROI_17,Invasive carcinoma,58438,9586
ROI_17,Invasive carcinoma,58468,9616
ROI_17,Invasive carcinoma,58522,9647
ROI_17,Invasive carcinoma,58519.5183129856,9635.73695893452
ROI_17,Invasive carcinoma,58566,9793
ROI_17,Invasive carcinoma,58578,9877
ROI_17,Invasive carcinoma,58638,10021
ROI_17,Invasive carcinoma,58674,10153
ROI_17,Invasive carcinoma,58722,10368
ROI_17,Invasive carcinoma,58722,10536
ROI_17,Invasive carcinoma,58698,10608
ROI_17,Invasive carcinoma,58698,10667
ROI_17,Invasive carcinoma,58674,10811
ROI_17,Invasive carcinoma,58674,11051
ROI_17,Invasive carcinoma,58722,11266
ROI_17,Invasive carcinoma,58734,11362
ROI_17,Invasive carcinoma,58770,11446
ROI_17,Invasive carcinoma,58806,11577
ROI_17,Invasive carcinoma,58818,11661
ROI_17,Invasive carcinoma,58818,11745
ROI_17,Invasive carcinoma,58878,11913
ROI_17,Invasive carcinoma,59009,12056
ROI_17,Invasive carcinoma,59081,12188
ROI_17,Invasive carcinoma,59105,12248
ROI_17,Invasive carcinoma,59105,12415
