roi_name,label,x_base,y_base
ROI_36,Dysplasia,25716.0,37822.0
ROI_36,Dysplasia,25663.0,37837.0
ROI_36,Dysplasia,25625.0,37860.0
ROI_36,Dysplasia,25609.0,37860.0
ROI_36,Dysplasia,25503.0,37921.0
ROI_36,Dysplasia,25488.0,37921.0
ROI_36,Dysplasia,25389.0,37966.0
ROI_36,Dysplasia,25313.0,38035.0
ROI_36,Dysplasia,25207.0,38103.0
ROI_36,Dysplasia,25086.0,38232.0
ROI_36,Dysplasia,25048.0,38300.0
ROI_36,Dysplasia,25017.0,38338.0
ROI_36,Dysplasia,24949.0,38483.0
ROI_36,Dysplasia,24911.0,38528.0
ROI_36,Dysplasia,24881.0,38589.0
ROI_36,Dysplasia,24843.0,38703.0
ROI_36,Dysplasia,24843.0,38726.0
ROI_36,Dysplasia,24828.0,38763.0
ROI_36,Dysplasia,24828.0,38801.0
ROI_36,Dysplasia,24820.0,38809.0
ROI_36,Dysplasia,24805.0,38900.0
ROI_36,Dysplasia,24797.0,38908.0
ROI_36,Dysplasia,24790.0,39006.0
ROI_36,Dysplasia,24782.0,39014.0
ROI_36,Dysplasia,24774.0,39325.0
ROI_36,Dysplasia,24767.0,39333.0
ROI_36,Dysplasia,24767.0,39386.0
ROI_36,Dysplasia,24759.0,39393.0
ROI_36,Dysplasia,24759.0,39431.0
ROI_36,Dysplasia,24752.0,39439.0
ROI_36,Dysplasia,24752.0,39500.0
ROI_36,Dysplasia,24721.0,39591.0
ROI_36,Dysplasia,24714.0,39667.0
ROI_36,Dysplasia,24683.0,39727.0
ROI_36,Dysplasia,24683.0,39750.0
ROI_36,Dysplasia,24653.0,39819.0
ROI_36,Dysplasia,24334.0,40168.0
ROI_36,Dysplasia,24258.0,40213.0
ROI_36,Dysplasia,24167.0,40289.0
ROI_36,Dysplasia,24114.0,40320.0
ROI_36,Dysplasia,24046.0,40380.0
ROI_36,Dysplasia,23977.0,40456.0
ROI_36,Dysplasia,23894.0,40623.0
ROI_36,Dysplasia,23894.0,40646.0
ROI_36,Dysplasia,23879.0,40676.0
ROI_36,Dysplasia,23871.0,40752.0
ROI_36,Dysplasia,23864.0,40760.0
ROI_36,Dysplasia,23864.0,40843.0
ROI_36,Dysplasia,23856.0,40851.0
ROI_36,Dysplasia,23864.0,40858.0
ROI_36,Dysplasia,23864.0,40912.0
ROI_36,Dysplasia,23886.0,40972.0
ROI_36,Dysplasia,23902.0,41094.0
ROI_36,Dysplasia,23940.0,41230.0
ROI_36,Dysplasia,24023.0,41413.0
ROI_36,Dysplasia,24137.0,41564.0
ROI_36,Dysplasia,24205.0,41625.0
ROI_36,Dysplasia,24243.0,41678.0
ROI_36,Dysplasia,24342.0,41784.0
ROI_36,Dysplasia,24486.0,41913.0
ROI_36,Dysplasia,24623.0,41997.0
ROI_36,Dysplasia,24668.0,42012.0
ROI_36,Dysplasia,24721.0,42043.0
ROI_36,Dysplasia,24767.0,42050.0
ROI_36,Dysplasia,24774.0,42058.0
ROI_36,Dysplasia,24805.0,42058.0
ROI_36,Dysplasia,24843.0,42073.0
ROI_36,Dysplasia,24911.0,42073.0
ROI_36,Dysplasia,24919.0,42080.0
ROI_36,Dysplasia,25013.0,42073.0
ROI_36,Dysplasia,25179.0,41766.0
ROI_36,Dysplasia,25184.0,41800.0
ROI_36,Dysplasia,25177.0,41746.0
ROI_36,Dysplasia,25162.0,41731.0
ROI_36,Dysplasia,25124.0,41648.0
ROI_36,Dysplasia,25010.0,41542.0
ROI_36,Dysplasia,25002.0,41526.0
ROI_36,Dysplasia,24645.0,41170.0
ROI_36,Dysplasia,24577.0,41018.0
ROI_36,Dysplasia,24570.0,40889.0
ROI_36,Dysplasia,24600.0,40828.0
ROI_36,Dysplasia,24600.0,40813.0
ROI_36,Dysplasia,24653.0,40729.0
ROI_36,Dysplasia,24858.0,40532.0
ROI_36,Dysplasia,24888.0,40486.0
ROI_36,Dysplasia,24949.0,40426.0
ROI_36,Dysplasia,24964.0,40395.0
ROI_36,Dysplasia,25146.0,40206.0
ROI_36,Dysplasia,25222.0,40107.0
ROI_36,Dysplasia,25268.0,40016.0
ROI_36,Dysplasia,25336.0,39910.0
ROI_36,Dysplasia,25382.0,39811.0
ROI_36,Dysplasia,25382.0,39796.0
ROI_36,Dysplasia,25420.0,39720.0
ROI_36,Dysplasia,25435.0,39705.0
ROI_36,Dysplasia,25496.0,39576.0
ROI_36,Dysplasia,25556.0,39523.0
ROI_36,Dysplasia,25579.0,39515.0
ROI_36,Dysplasia,25625.0,39515.0
ROI_36,Dysplasia,25632.0,39507.0
ROI_36,Dysplasia,25731.0,39545.0
ROI_36,Dysplasia,25845.0,39636.0
ROI_36,Dysplasia,25898.0,39659.0
ROI_36,Dysplasia,25966.0,39712.0
ROI_36,Dysplasia,26042.0,39750.0
ROI_36,Dysplasia,26110.0,39773.0
ROI_36,Dysplasia,26156.0,39773.0
ROI_36,Dysplasia,26163.0,39781.0
ROI_36,Dysplasia,26330.0,39788.0
ROI_36,Dysplasia,26338.0,39781.0
ROI_36,Dysplasia,26406.0,39781.0
ROI_36,Dysplasia,26414.0,39773.0
ROI_36,Dysplasia,26482.0,39765.0
ROI_36,Dysplasia,26528.0,39743.0
ROI_36,Dysplasia,26543.0,39743.0
ROI_36,Dysplasia,26619.0,39705.0
ROI_36,Dysplasia,26672.0,39667.0
ROI_36,Dysplasia,26718.0,39621.0
ROI_36,Dysplasia,26763.0,39591.0
ROI_36,Dysplasia,26793.0,39583.0
ROI_36,Dysplasia,26869.0,39530.0
ROI_36,Dysplasia,26976.0,39485.0
ROI_36,Dysplasia,26998.0,39485.0
ROI_36,Dysplasia,27090.0,39454.0
ROI_36,Dysplasia,27226.0,39447.0
ROI_36,Dysplasia,27234.0,39439.0
ROI_36,Dysplasia,27310.0,39439.0
ROI_36,Dysplasia,27317.0,39447.0
ROI_36,Dysplasia,27492.0,39454.0
ROI_36,Dysplasia,27499.0,39462.0
ROI_36,Dysplasia,27621.0,39469.0
ROI_36,Dysplasia,27628.0,39477.0
ROI_36,Dysplasia,27765.0,39477.0
ROI_36,Dysplasia,27773.0,39469.0
ROI_36,Dysplasia,27864.0,39462.0
ROI_36,Dysplasia,27871.0,39454.0
ROI_36,Dysplasia,27978.0,39439.0
ROI_36,Dysplasia,27985.0,39431.0
ROI_36,Dysplasia,28129.0,39409.0
ROI_36,Dysplasia,28175.0,39393.0
ROI_36,Dysplasia,28319.0,39386.0
ROI_36,Dysplasia,28327.0,39393.0
ROI_36,Dysplasia,28395.0,39393.0
ROI_36,Dysplasia,28403.0,39401.0
ROI_36,Dysplasia,28441.0,39401.0
ROI_36,Dysplasia,28448.0,39409.0
ROI_36,Dysplasia,28585.0,39431.0
ROI_36,Dysplasia,28737.0,39500.0
ROI_36,Dysplasia,28904.0,39659.0
ROI_36,Dysplasia,28942.0,39705.0
ROI_36,Dysplasia,29017.0,39765.0
ROI_36,Dysplasia,29040.0,39773.0
ROI_36,Dysplasia,29154.0,39856.0
ROI_36,Dysplasia,29268.0,39917.0
ROI_36,Dysplasia,29329.0,39932.0
ROI_36,Dysplasia,29367.0,39932.0
ROI_36,Dysplasia,29374.0,39940.0
