roi_name,label,x_base,y_base
ROI_0,Benign,59440,32835
ROI_0,Benign,59432,32843
ROI_0,Benign,59197,32851
ROI_0,Benign,59189,32858
ROI_0,Benign,59136,32858
ROI_0,Benign,59128,32866
ROI_0,Benign,58954,32873
ROI_0,Benign,58946,32881
ROI_0,Benign,58923,32881
ROI_0,Benign,58916,32889
ROI_0,Benign,58848,32904
ROI_0,Benign,58825,32919
ROI_0,Benign,58764,32926
ROI_0,Benign,58757,32934
ROI_0,Benign,58688,32949
ROI_0,Benign,58498,33033
ROI_0,Benign,58453,33033
ROI_0,Benign,58369,32987
ROI_0,Benign,58316,32980
ROI_0,Benign,58309,32972
ROI_0,Benign,58187,32964
ROI_0,Benign,58180,32972
ROI_0,Benign,58142,32972
ROI_0,Benign,58134,32980
ROI_0,Benign,58096,32980
ROI_0,Benign,58089,32987
ROI_0,Benign,58035,32995
ROI_0,Benign,57944,33040
ROI_0,Benign,57853,33071
ROI_0,Benign,57770,33078
ROI_0,Benign,57762,33086
ROI_0,Benign,57641,33101
ROI_0,Benign,57633,33109
ROI_0,Benign,57588,33109
ROI_0,Benign,57565,33116
ROI_0,Benign,57557,33109
ROI_0,Benign,57519,33109
ROI_0,Benign,57489,33093
ROI_0,Benign,57360,33093
ROI_0,Benign,57314,33109
ROI_0,Benign,57261,33109
ROI_0,Benign,57254,33116
ROI_0,Benign,57170,33124
ROI_0,Benign,57140,33139
ROI_0,Benign,57117,33139
ROI_0,Benign,57003,33177
ROI_0,Benign,56927,33177
ROI_0,Benign,56920,33185
ROI_0,Benign,56669,33185
ROI_0,Benign,56662,33192
ROI_0,Benign,56570,33207
ROI_0,Benign,56540,33223
ROI_0,Benign,56358,33253
ROI_0,Benign,56290,33283
ROI_0,Benign,56221,33298
ROI_0,Benign,56176,33321
ROI_0,Benign,56092,33336
ROI_0,Benign,56085,33344
ROI_0,Benign,56047,33344
ROI_0,Benign,56001,33359
ROI_0,Benign,55971,33359
ROI_0,Benign,55933,33374
ROI_0,Benign,55842,33390
