roi_name,label,x_base,y_base
ROI_2,Moderate,15756.0,5734.0
ROI_2,Moderate,15738.0,5731.0
ROI_2,Moderate,15639.0,5750.0
ROI_2,Moderate,15545.0,5789.0
ROI_2,Moderate,15521.0,5789.0
ROI_2,Moderate,15513.0,5797.0
ROI_2,Moderate,15473.0,5805.0
ROI_2,Moderate,15426.0,5829.0
ROI_2,Moderate,15347.0,5837.0
ROI_2,Moderate,15236.0,5876.0
ROI_2,Moderate,15197.0,5876.0
ROI_2,Moderate,15165.0,5892.0
ROI_2,Moderate,15086.0,5900.0
ROI_2,Moderate,15039.0,5916.0
ROI_2,Moderate,14942.0,5949.0
ROI_2,Moderate,15052.0,7171.0
ROI_2,Moderate,15078.0,7148.0
ROI_2,Moderate,15150.0,7116.0
ROI_2,Moderate,15221.0,7109.0
ROI_2,Moderate,15274.0,7088.0
ROI_2,Moderate,15387.0,7085.0
ROI_2,Moderate,15421.0,7077.0
ROI_2,Moderate,15580.0,7078.0
ROI_2,Moderate,15608.0,7085.0
ROI_2,Moderate,15663.0,7085.0
ROI_2,Moderate,15685.0,7089.0
ROI_2,Moderate,15758.0,5737.0
ROI_0,Moderate,10908.0,6982.0
ROI_0,Moderate,10845.0,6990.0
ROI_0,Moderate,10837.0,6998.0
ROI_0,Moderate,10758.0,7014.0
ROI_0,Moderate,10655.0,7069.0
ROI_0,Moderate,10608.0,7109.0
ROI_0,Moderate,10545.0,7140.0
ROI_0,Moderate,10505.0,7172.0
ROI_0,Moderate,10394.0,7219.0
ROI_0,Moderate,10300.0,7298.0
ROI_0,Moderate,10244.0,7330.0
ROI_0,Moderate,10165.0,7393.0
ROI_0,Moderate,10086.0,7472.0
ROI_0,Moderate,10044.0,7496.0
ROI_0,Moderate,10347.0,8087.0
ROI_0,Moderate,10418.0,8064.0
ROI_0,Moderate,10442.0,8048.0
ROI_0,Moderate,10489.0,8041.0
ROI_0,Moderate,10513.0,8025.0
ROI_0,Moderate,10600.0,8001.0
ROI_0,Moderate,10742.0,7914.0
ROI_0,Moderate,10758.0,7914.0
ROI_0,Moderate,10805.0,7890.0
ROI_0,Moderate,10853.0,7883.0
ROI_0,Moderate,10916.0,7851.0
ROI_0,Moderate,10932.0,7851.0
ROI_0,Moderate,11066.0,7764.0
ROI_0,Moderate,11145.0,7725.0
ROI_0,Moderate,11200.0,7677.0
ROI_0,Moderate,11258.0,7654.0
ROI_0,Moderate,11071.0,6913.0
ROI_0,Moderate,10908.0,6982.0
ROI_1,Severe,14891.0,5920.0
ROI_1,Severe,14770.0,5908.0
ROI_1,Severe,14731.0,5908.0
ROI_1,Severe,14723.0,5900.0
ROI_1,Severe,14644.0,5892.0
ROI_1,Severe,14636.0,5884.0
ROI_1,Severe,14541.0,5884.0
ROI_1,Severe,14533.0,5892.0
ROI_1,Severe,14478.0,5892.0
ROI_1,Severe,14470.0,5884.0
ROI_1,Severe,14241.0,5884.0
ROI_1,Severe,14233.0,5892.0
ROI_1,Severe,14218.0,5884.0
ROI_1,Severe,14115.0,5884.0
ROI_1,Severe,14107.0,5892.0
ROI_1,Severe,14060.0,5892.0
ROI_1,Severe,14036.0,5908.0
ROI_1,Severe,14012.0,5908.0
ROI_1,Severe,14004.0,5916.0
ROI_1,Severe,13902.0,5924.0
ROI_1,Severe,13862.0,5939.0
ROI_1,Severe,13767.0,5947.0
ROI_1,Severe,13704.0,5971.0
ROI_1,Severe,13617.0,5979.0
ROI_1,Severe,13609.0,5987.0
ROI_1,Severe,13554.0,5987.0
ROI_1,Severe,13515.0,6003.0
ROI_1,Severe,13459.0,6011.0
ROI_1,Severe,13349.0,6066.0
ROI_1,Severe,13325.0,6066.0
ROI_1,Severe,13285.0,6082.0
ROI_1,Severe,13254.0,6082.0
ROI_1,Severe,13246.0,6090.0
ROI_1,Severe,13191.0,6097.0
ROI_1,Severe,13183.0,6105.0
ROI_1,Severe,13151.0,6105.0
ROI_1,Severe,13143.0,6113.0
ROI_1,Severe,13112.0,6113.0
ROI_1,Severe,13104.0,6121.0
ROI_1,Severe,13072.0,6121.0
ROI_1,Severe,13017.0,6145.0
ROI_1,Severe,12993.0,6145.0
ROI_1,Severe,12954.0,6169.0
ROI_1,Severe,12890.0,6184.0
ROI_1,Severe,12851.0,6208.0
ROI_1,Severe,12835.0,6208.0
ROI_1,Severe,12772.0,6240.0
ROI_1,Severe,12733.0,6248.0
ROI_1,Severe,12677.0,6279.0
ROI_1,Severe,12661.0,6279.0
ROI_1,Severe,12638.0,6295.0
ROI_1,Severe,12582.0,6311.0
ROI_1,Severe,12503.0,6350.0
ROI_1,Severe,12369.0,6382.0
ROI_1,Severe,12314.0,6413.0
ROI_1,Severe,12211.0,6445.0
