roi_name,label,x_base,y_base
ROI_0,Hyperkeratosis,33830,6990
ROI_0,Hyperkeratosis,33846,6990
ROI_0,Hyperkeratosis,33949,7037
ROI_0,Hyperkeratosis,33988,7069
ROI_0,Hyperkeratosis,34044,7093
ROI_0,Hyperkeratosis,34060,7109
ROI_0,Hyperkeratosis,34099,7124
ROI_0,Hyperkeratosis,34146,7156
ROI_0,Hyperkeratosis,34162,7156
ROI_0,Hyperkeratosis,34257,7203
ROI_0,Hyperkeratosis,34281,7203
ROI_0,Hyperkeratosis,34320,7227
ROI_0,Hyperkeratosis,34336,7227
ROI_0,Hyperkeratosis,34399,7259
ROI_0,Hyperkeratosis,34415,7274
ROI_0,Hyperkeratosis,34518,7322
ROI_0,Hyperkeratosis,34533,7338
ROI_0,Hyperkeratosis,34581,7361
ROI_0,Hyperkeratosis,34597,7361
ROI_0,Hyperkeratosis,34628,7385
ROI_0,Hyperkeratosis,34660,7393
ROI_0,Hyperkeratosis,34786,7456
ROI_0,Hyperkeratosis,34857,7511
ROI_0,Hyperkeratosis,34952,7559
ROI_0,Hyperkeratosis,34976,7582
ROI_0,Hyperkeratosis,35071,7622
ROI_0,Hyperkeratosis,35110,7654
ROI_0,Hyperkeratosis,35158,7679
ROI_0,Hyperkeratosis,35720,6588
ROI_0,Hyperkeratosis,35695,6524
ROI_0,Hyperkeratosis,35560,6406
ROI_0,Hyperkeratosis,35402,6311
ROI_0,Hyperkeratosis,35300,6216
ROI_0,Hyperkeratosis,35189,6161
ROI_0,Hyperkeratosis,35165,6161
ROI_0,Hyperkeratosis,35102,6137
ROI_0,Hyperkeratosis,35000,6129
ROI_0,Hyperkeratosis,34889,6082
ROI_0,Hyperkeratosis,34794,6074
ROI_0,Hyperkeratosis,34723,6050
ROI_0,Hyperkeratosis,34684,6050
ROI_0,Hyperkeratosis,34676,6042
ROI_0,Hyperkeratosis,34494,6042
ROI_0,Hyperkeratosis,34486,6034
ROI_0,Hyperkeratosis,34423,6034
ROI_0,Hyperkeratosis,34415,6026
ROI_0,Hyperkeratosis,34321,6031
ROI_0,Hyperkeratosis,33829,6989
ROI_0,Hyperkeratosis,33830,6990
ROI_2,Benign,51374,23941
ROI_2,Benign,51342,23981
ROI_2,Benign,51319,24028
ROI_2,Benign,51327,24036
ROI_2,Benign,51327,24091
ROI_2,Benign,51358,24123
ROI_2,Benign,51374,24123
ROI_2,Benign,51421,24146
ROI_2,Benign,51461,24178
ROI_2,Benign,51508,24202
ROI_2,Benign,51548,24241
ROI_2,Benign,51579,24257
ROI_2,Benign,51658,24320
ROI_2,Benign,51690,24360
ROI_2,Benign,51769,24431
ROI_2,Benign,51769,24439
ROI_2,Benign,51919,24597
ROI_2,Benign,51935,24644
ROI_2,Benign,51935,24699
ROI_2,Benign,51927,24707
ROI_2,Benign,51919,24770
ROI_2,Benign,51848,24897
ROI_2,Benign,51690,25063
ROI_2,Benign,51642,25094
ROI_2,Benign,51492,25229
ROI_2,Benign,51421,25339
ROI_2,Benign,51382,25434
ROI_2,Benign,51374,25489
ROI_2,Benign,51366,25497
ROI_2,Benign,51366,25529
ROI_2,Benign,51350,25568
ROI_2,Benign,51350,25655
ROI_2,Benign,51358,25663
ROI_2,Benign,51358,25703
ROI_2,Benign,51366,25710
ROI_2,Benign,51374,25774
ROI_2,Benign,51398,25829
ROI_2,Benign,51398,25853
ROI_2,Benign,51413,25876
ROI_2,Benign,51413,25900
ROI_2,Benign,51437,25955
ROI_2,Benign,51437,25987
ROI_2,Benign,51453,26034
