roi_name,label,x_base,y_base
ROI_0,Benign,24091,2725
ROI_0,Benign,24083,2733
ROI_0,Benign,24060,2733
ROI_0,Benign,23996,2780
ROI_0,Benign,23941,2780
ROI_0,Benign,23870,2756
ROI_0,Benign,23807,2764
ROI_0,Benign,23759,2804
ROI_0,Benign,23736,2812
ROI_0,Benign,23712,2835
ROI_0,Benign,23680,2851
ROI_0,Benign,23617,2851
ROI_0,Benign,23570,2835
ROI_0,Benign,23530,2835
ROI_0,Benign,23522,2827
ROI_0,Benign,23443,2827
ROI_0,Benign,23420,2835
ROI_0,Benign,23412,2827
ROI_0,Benign,23380,2827
ROI_0,Benign,23333,2812
ROI_0,Benign,23206,2812
ROI_0,Benign,23199,2804
ROI_0,Benign,23135,2804
ROI_0,Benign,23127,2796
ROI_0,Benign,23048,2796
ROI_0,Benign,23041,2804
ROI_0,Benign,23017,2804
ROI_0,Benign,22969,2819
ROI_0,Benign,22890,2883
ROI_0,Benign,22875,2883
ROI_0,Benign,22851,2898
ROI_0,Benign,22804,2906
ROI_0,Benign,22780,2922
ROI_0,Benign,22709,2946
ROI_0,Benign,22638,2954
ROI_0,Benign,22630,2962
ROI_0,Benign,22567,2962
ROI_0,Benign,22527,2946
ROI_0,Benign,22488,2946
ROI_0,Benign,22417,2922
ROI_0,Benign,22353,2890
ROI_0,Benign,22314,2890
ROI_0,Benign,22298,2898
ROI_0,Benign,22251,2946
ROI_0,Benign,22195,2985
ROI_0,Benign,22109,2985
ROI_0,Benign,22061,2969
ROI_0,Benign,22022,2969
ROI_0,Benign,22014,2962
ROI_0,Benign,21943,2954
ROI_0,Benign,21935,2946
ROI_0,Benign,21903,2946
ROI_0,Benign,21840,2922
ROI_0,Benign,21769,2922
ROI_0,Benign,21737,2938
ROI_0,Benign,21706,2977
ROI_0,Benign,21635,3041
ROI_0,Benign,21587,3064
ROI_0,Benign,21477,3064
ROI_0,Benign,21469,3056
ROI_0,Benign,21413,3056
ROI_0,Benign,21390,3048
ROI_0,Benign,21303,2985
ROI_0,Benign,21287,2985
ROI_0,Benign,21224,2938
ROI_0,Benign,21208,2938
ROI_0,Benign,21184,2922
ROI_0,Benign,21113,2898
ROI_0,Benign,21074,2898
ROI_0,Benign,21066,2890
ROI_0,Benign,21011,2898
ROI_0,Benign,20979,2922
ROI_0,Benign,20908,2954
ROI_0,Benign,20860,2954
ROI_0,Benign,20853,2946
ROI_0,Benign,20805,2946
ROI_0,Benign,20797,2938
ROI_0,Benign,20671,2938
ROI_0,Benign,20663,2946
ROI_0,Benign,20639,2946
ROI_0,Benign,20584,3001
ROI_0,Benign,20552,3120
ROI_0,Benign,20513,3151
ROI_0,Benign,20489,3183
ROI_0,Benign,20473,3191
ROI_0,Benign,20402,3191
ROI_0,Benign,20292,3151
ROI_0,Benign,20260,3159
ROI_0,Benign,20205,3206
ROI_0,Benign,20197,3230
ROI_0,Benign,20157,3270
ROI_0,Benign,20150,3270
ROI_0,Benign,20110,3309
ROI_0,Benign,20078,3325
ROI_0,Benign,20071,3341
ROI_0,Benign,20007,3396
ROI_0,Benign,19921,3491
ROI_0,Benign,19905,3499
ROI_0,Benign,19881,3499
ROI_0,Benign,19810,3530
ROI_0,Benign,19612,3530
ROI_0,Benign,19605,3522
ROI_0,Benign,19541,3515
ROI_0,Benign,19533,3507
ROI_0,Benign,19336,3507
ROI_0,Benign,19328,3499
ROI_0,Benign,19202,3491
ROI_0,Benign,19194,3483
ROI_0,Benign,19099,3483
ROI_0,Benign,19028,3515
ROI_0,Benign,18957,3570
ROI_0,Benign,18854,3586
ROI_0,Benign,18791,3633
ROI_0,Benign,18751,3649
ROI_0,Benign,18704,3680
ROI_0,Benign,18680,3680
ROI_0,Benign,18672,3688
ROI_0,Benign,18609,3688
ROI_0,Benign,18601,3696
ROI_0,Benign,18570,3696
ROI_0,Benign,18499,3720
ROI_0,Benign,18404,3799
ROI_0,Benign,18317,3838
ROI_0,Benign,18278,3878
ROI_0,Benign,18230,3894
ROI_0,Benign,18017,3894
ROI_0,Benign,17938,3925
ROI_0,Benign,17788,3941
ROI_0,Benign,17725,3965
ROI_0,Benign,17677,4004
ROI_0,Benign,17654,4012
ROI_0,Benign,17559,4020
ROI_0,Benign,17472,4067
ROI_0,Benign,17424,4075
ROI_0,Benign,17377,4099
ROI_0,Benign,17243,4115
ROI_0,Benign,17195,4139
ROI_0,Benign,17172,4139
ROI_0,Benign,17124,4162
ROI_0,Benign,17077,4202
ROI_0,Benign,17037,4218
ROI_0,Benign,17022,4233
ROI_0,Benign,16832,4281
ROI_0,Benign,16777,4320
ROI_0,Benign,16729,4336
ROI_0,Benign,16595,4478
ROI_0,Benign,16579,4510
ROI_0,Benign,16492,4565
ROI_0,Benign,16445,4612
