roi_name,label,x_base,y_base
ROI_12,Benign,9560,25840
ROI_12,Benign,9573,25792
ROI_12,Benign,9591,25644
ROI_12,Benign,9599,25452
ROI_12,Benign,9621,25295
ROI_12,Benign,9634,25252
ROI_12,Benign,9638,24825
ROI_12,Benign,9656,24720
ROI_12,Benign,9656,24633
ROI_12,Benign,9643,24572
ROI_12,Benign,9814,24509
ROI_12,Benign,9920,24501
ROI_12,Benign,9928,24494
ROI_12,Benign,9973,24494
ROI_12,Benign,9981,24486
ROI_12,Benign,10057,24478
ROI_12,Benign,10125,24456
ROI_12,Benign,10148,24440
ROI_12,Benign,10239,24410
ROI_12,Benign,10262,24410
ROI_12,Benign,10315,24387
ROI_12,Benign,10338,24387
ROI_12,Benign,10368,24372
ROI_12,Benign,10391,24372
ROI_12,Benign,10596,24296
ROI_12,Benign,10634,24296
ROI_12,Benign,10641,24289
ROI_12,Benign,10717,24281
ROI_12,Benign,10725,24273
ROI_12,Benign,10793,24273
ROI_12,Benign,10801,24266
ROI_12,Benign,11021,24266
ROI_12,Benign,11028,24273
ROI_12,Benign,11081,24273
ROI_12,Benign,11089,24281
ROI_12,Benign,11119,24281
ROI_12,Benign,11127,24289
ROI_12,Benign,11173,24296
ROI_12,Benign,11248,24334
ROI_12,Benign,11317,24380
ROI_12,Benign,11438,24478
ROI_12,Benign,11575,24547
ROI_12,Benign,11598,24570
ROI_12,Benign,11704,24615
ROI_12,Benign,11795,24630
ROI_12,Benign,11863,24661
ROI_12,Benign,11954,24676
ROI_12,Benign,11962,24683
ROI_12,Benign,12106,24683
ROI_12,Benign,12114,24691
ROI_12,Benign,12190,24691
ROI_12,Benign,12197,24699
ROI_12,Benign,12228,24699
ROI_12,Benign,12235,24706
ROI_12,Benign,12288,24714
ROI_12,Benign,12402,24752
ROI_12,Benign,12440,24774
ROI_12,Benign,12455,24774
ROI_12,Benign,12524,24805
ROI_12,Benign,12615,24820
ROI_12,Benign,12622,24828
ROI_12,Benign,12721,24835
ROI_12,Benign,12729,24843
ROI_12,Benign,12812,24850
ROI_12,Benign,12820,24858
ROI_12,Benign,13070,24858
ROI_12,Benign,13078,24866
ROI_12,Benign,13146,24873
ROI_12,Benign,13237,24903
ROI_12,Benign,13374,24972
ROI_12,Benign,13480,25002
ROI_12,Benign,13541,25033
ROI_12,Benign,13556,25048
ROI_12,Benign,13609,25063
ROI_12,Benign,13662,25093
ROI_12,Benign,13730,25108
ROI_12,Benign,13852,25169
ROI_12,Benign,13913,25184
ROI_12,Benign,13981,25215
ROI_12,Benign,14072,25230
ROI_12,Benign,14080,25237
ROI_12,Benign,14125,25237
ROI_12,Benign,14133,25245
ROI_12,Benign,14338,25260
ROI_12,Benign,14368,25275
ROI_12,Benign,14505,25306
ROI_12,Benign,14527,25321
ROI_12,Benign,14573,25329
ROI_12,Benign,14596,25344
ROI_12,Benign,14664,25359
ROI_12,Benign,14786,25404
ROI_12,Benign,14808,25404
ROI_12,Benign,14846,25420
ROI_12,Benign,14884,25420
ROI_12,Benign,14892,25427
ROI_12,Benign,14930,25427
ROI_12,Benign,14990,25450
ROI_12,Benign,15013,25450
ROI_12,Benign,15127,25496
ROI_12,Benign,15226,25579
ROI_12,Benign,15309,25632
ROI_12,Benign,15385,25700
ROI_12,Benign,15469,25738
ROI_12,Benign,15567,25799
ROI_12,Benign,15658,25867
ROI_12,Benign,15712,25921
ROI_12,Benign,15780,26034
ROI_12,Benign,15841,26110
ROI_12,Benign,15879,26186
ROI_12,Benign,15932,26247
ROI_12,Benign,16000,26353
ROI_12,Benign,16008,26376
ROI_12,Benign,16114,26520
ROI_12,Benign,16144,26589
ROI_12,Benign,16175,26626
ROI_12,Benign,16220,26718
ROI_12,Benign,16258,26854
ROI_12,Benign,16288,26915
ROI_12,Benign,16349,26998
ROI_12,Benign,16402,27044
ROI_12,Benign,16433,27059
ROI_12,Benign,16478,27074
ROI_12,Benign,16546,27082
ROI_12,Benign,16584,27097
ROI_12,Benign,16630,27143
ROI_12,Benign,16706,27310
ROI_12,Benign,16774,27386
ROI_12,Benign,16873,27439
ROI_12,Benign,16949,27461
ROI_12,Benign,16979,27484
ROI_12,Benign,17017,27499
ROI_12,Benign,17123,27575
ROI_12,Benign,17176,27598
ROI_12,Benign,17306,27689
ROI_12,Benign,17351,27712
ROI_12,Benign,17412,27773
ROI_12,Benign,17419,27773
ROI_12,Benign,17465,27826
ROI_12,Benign,17548,27902
ROI_12,Benign,17655,28038
ROI_12,Benign,17936,28312
ROI_12,Benign,17958,28350
ROI_12,Benign,18019,28410
ROI_12,Benign,18019,28418
ROI_12,Benign,18178,28585
ROI_12,Benign,18224,28653
ROI_12,Benign,18338,28767
ROI_12,Benign,18399,28805
ROI_12,Benign,18543,28949
ROI_12,Benign,18581,29017
ROI_12,Benign,18657,29109
ROI_12,Benign,18710,29192
ROI_12,Benign,18808,29283
ROI_12,Benign,18808,29291
ROI_12,Benign,18892,29374
ROI_12,Benign,18953,29465
ROI_12,Benign,18968,29503
ROI_12,Benign,19051,29617
ROI_12,Benign,19249,29814
ROI_12,Benign,19294,29898
ROI_12,Benign,19347,29974
ROI_12,Benign,19385,30012
ROI_12,Benign,19431,30088
ROI_12,Benign,19514,30171
ROI_12,Benign,19537,30209
ROI_12,Benign,19613,30285
ROI_12,Benign,19643,30331
ROI_12,Benign,19742,30429
