roi_name,label,x_base,y_base
ROI_8,Benign,43781.0,42506.0
ROI_8,Benign,43773.0,42513.0
ROI_8,Benign,43766.0,42513.0
ROI_8,Benign,43758.0,42513.0
ROI_8,Benign,43750.0,42521.0
ROI_8,Benign,43743.0,42521.0
ROI_8,Benign,43735.0,42528.0
ROI_8,Benign,43728.0,42528.0
ROI_8,Benign,43720.0,42536.0
ROI_8,Benign,43712.0,42543.0
ROI_8,Benign,43705.0,42551.0
ROI_8,Benign,43697.0,42559.0
ROI_8,Benign,43697.0,42566.0
ROI_8,Benign,43690.0,42574.0
ROI_8,Benign,43682.0,42581.0
ROI_8,Benign,43682.0,42589.0
ROI_8,Benign,43682.0,42597.0
ROI_8,Benign,43682.0,42604.0
ROI_8,Benign,43682.0,42612.0
ROI_8,Benign,43674.0,42619.0
ROI_8,Benign,43682.0,42627.0
ROI_8,Benign,43682.0,42635.0
ROI_8,Benign,43682.0,42642.0
ROI_8,Benign,43690.0,42650.0
ROI_8,Benign,43690.0,42657.0
ROI_8,Benign,43697.0,42665.0
ROI_8,Benign,43705.0,42673.0
ROI_8,Benign,43705.0,42680.0
ROI_8,Benign,43712.0,42688.0
ROI_8,Benign,43712.0,42695.0
ROI_8,Benign,43720.0,42703.0
ROI_8,Benign,43720.0,42710.0
ROI_8,Benign,43728.0,42718.0
ROI_8,Benign,43735.0,42726.0
ROI_8,Benign,43735.0,42733.0
ROI_8,Benign,43743.0,42741.0
ROI_8,Benign,43750.0,42748.0
ROI_8,Benign,43758.0,42756.0
ROI_8,Benign,43766.0,42764.0
ROI_8,Benign,43773.0,42771.0
ROI_8,Benign,43781.0,42779.0
ROI_8,Benign,43788.0,42786.0
ROI_8,Benign,43796.0,42786.0
ROI_8,Benign,43803.0,42794.0
ROI_8,Benign,43811.0,42802.0
ROI_8,Benign,43819.0,42802.0
ROI_8,Benign,43826.0,42809.0
ROI_8,Benign,43834.0,42817.0
ROI_8,Benign,43841.0,42817.0
ROI_8,Benign,43849.0,42824.0
ROI_8,Benign,43857.0,42832.0
ROI_8,Benign,43864.0,42840.0
ROI_8,Benign,43872.0,42840.0
ROI_8,Benign,43879.0,42847.0
ROI_8,Benign,43887.0,42855.0
ROI_8,Benign,43895.0,42862.0
ROI_8,Benign,43902.0,42862.0
ROI_8,Benign,43910.0,42870.0
ROI_8,Benign,43917.0,42877.0
ROI_8,Benign,43925.0,42877.0
ROI_8,Benign,43933.0,42885.0
ROI_8,Benign,43940.0,42893.0
ROI_8,Benign,43948.0,42900.0
ROI_8,Benign,43955.0,42900.0
ROI_8,Benign,43963.0,42908.0
ROI_8,Benign,43970.0,42915.0
ROI_8,Benign,43978.0,42923.0
ROI_8,Benign,43986.0,42923.0
ROI_8,Benign,43993.0,42931.0
ROI_8,Benign,44001.0,42938.0
ROI_8,Benign,44008.0,42946.0
ROI_8,Benign,44016.0,42946.0
ROI_8,Benign,44024.0,42953.0
ROI_8,Benign,44031.0,42961.0
ROI_8,Benign,44039.0,42969.0
ROI_8,Benign,44046.0,42976.0
ROI_8,Benign,44054.0,42976.0
ROI_8,Benign,44062.0,42984.0
ROI_8,Benign,44069.0,42991.0
ROI_8,Benign,44077.0,42999.0
ROI_8,Benign,44084.0,43006.0
ROI_8,Benign,44092.0,43006.0
ROI_8,Benign,44100.0,43014.0
ROI_8,Benign,44107.0,43022.0
ROI_8,Benign,44115.0,43029.0
