roi_name,label,x_base,y_base
ROI_15,Benign,55356,37306
ROI_15,Benign,55227,37473
ROI_15,Benign,55150,37550
ROI_15,Benign,55175,37581
ROI_15,Benign,55194,37642
ROI_15,Benign,55200,37772
ROI_15,Benign,55191,37794
ROI_15,Benign,55150,37852
ROI_15,Benign,54949,37969
ROI_15,Benign,54898,37990
ROI_15,Benign,54830,38054
ROI_15,Benign,54757,38083
ROI_15,Benign,54634,38150
ROI_15,Benign,54480,38273
ROI_15,Benign,54452,38271
ROI_15,Benign,54286,38222
ROI_15,Benign,54286,38285
ROI_15,Benign,54278,38293
ROI_15,Benign,54278,38323
ROI_15,Benign,54255,38369
ROI_15,Benign,54195,38445
ROI_15,Benign,54073,38559
ROI_15,Benign,54035,38619
ROI_15,Benign,53899,38786
ROI_15,Benign,53785,38961
ROI_15,Benign,53686,39052
ROI_15,Benign,53580,39128
ROI_15,Benign,53527,39151
ROI_15,Benign,53428,39242
ROI_15,Benign,53367,39280
ROI_15,Benign,53284,39363
ROI_15,Benign,53223,39409
ROI_15,Benign,53185,39462
ROI_15,Benign,53102,39538
ROI_15,Benign,53049,39606
ROI_15,Benign,53011,39629
ROI_15,Benign,52912,39727
ROI_15,Benign,52844,39773
ROI_15,Benign,52639,39963
ROI_15,Benign,52570,40008
ROI_15,Benign,52479,40054
ROI_15,Benign,52464,40069
ROI_15,Benign,52388,40107
ROI_15,Benign,52290,40137
ROI_15,Benign,52130,40228
ROI_15,Benign,51986,40289
ROI_15,Benign,51902,40342
ROI_15,Benign,51887,40342
ROI_15,Benign,51842,40365
ROI_15,Benign,51705,40395
ROI_15,Benign,51629,40433
ROI_15,Benign,51614,40449
ROI_15,Benign,51470,40517
ROI_15,Benign,51356,40600
ROI_15,Benign,51280,40646
ROI_15,Benign,51197,40722
ROI_15,Benign,51128,40752
ROI_15,Benign,51014,40828
ROI_15,Benign,50916,40874
ROI_15,Benign,50863,40889
ROI_15,Benign,50749,40965
ROI_15,Benign,50673,41003
ROI_15,Benign,50589,41079
ROI_15,Benign,50529,41116
ROI_15,Benign,50430,41208
ROI_15,Benign,50324,41268
ROI_15,Benign,50240,41329
ROI_15,Benign,50119,41390
ROI_15,Benign,50058,41435
ROI_15,Benign,49997,41496
ROI_15,Benign,49876,41648
ROI_15,Benign,49694,41822
ROI_15,Benign,49557,41936
ROI_15,Benign,49443,42012
ROI_15,Benign,49375,42080
ROI_15,Benign,49314,42118
ROI_15,Benign,49284,42149
ROI_15,Benign,49117,42240
ROI_15,Benign,49041,42308
ROI_15,Benign,48995,42339
ROI_15,Benign,48942,42361
ROI_15,Benign,48866,42414
ROI_15,Benign,48775,42460
ROI_15,Benign,48760,42460
ROI_15,Benign,48692,42490
ROI_15,Benign,48570,42566
ROI_15,Benign,48472,42612
ROI_15,Benign,48365,42695
ROI_15,Benign,48297,42726
ROI_15,Benign,48251,42756
ROI_15,Benign,48221,42786
ROI_15,Benign,48122,42847
ROI_15,Benign,48016,42938
ROI_15,Benign,47910,43006
ROI_15,Benign,47796,43113
ROI_15,Benign,47697,43265
ROI_15,Benign,47637,43333
ROI_15,Benign,47538,43485
ROI_15,Benign,47530,43515
ROI_15,Benign,47485,43606
ROI_15,Benign,47439,43674
ROI_15,Benign,47386,43728
ROI_15,Benign,47363,43766
ROI_15,Benign,47257,43864
ROI_15,Benign,47227,43910
ROI_15,Benign,47151,43993
ROI_15,Benign,47113,44069
ROI_15,Benign,47037,44191
ROI_15,Benign,47037,44206
ROI_15,Benign,46984,44327
ROI_15,Benign,46893,44426
ROI_15,Benign,46847,44449
ROI_15,Benign,46293,44449
ROI_15,Benign,46286,44456
ROI_15,Benign,46232,44456
ROI_15,Benign,46225,44464
ROI_15,Benign,46194,44464
ROI_15,Benign,46187,44471
ROI_15,Benign,46156,44471
ROI_15,Benign,46149,44479
ROI_15,Benign,46058,44494
ROI_15,Benign,45967,44525
ROI_15,Benign,45845,44585
ROI_15,Benign,45686,44730
ROI_15,Benign,45648,44790
ROI_15,Benign,45648,44805
ROI_15,Benign,45580,44934
ROI_15,Benign,45580,44950
ROI_15,Benign,45557,44988
ROI_15,Benign,45542,45033
ROI_15,Benign,45526,45132
ROI_15,Benign,45504,45200
ROI_15,Benign,45496,45261
ROI_15,Benign,45489,45268
ROI_15,Benign,45481,45367
ROI_15,Benign,45473,45375
ROI_15,Benign,45466,45534
ROI_15,Benign,45473,45542
ROI_15,Benign,45473,45587
ROI_15,Benign,45481,45595
ROI_15,Benign,45481,45633
ROI_15,Benign,45489,45640
ROI_15,Benign,45489,45678
ROI_15,Benign,45504,45724
ROI_15,Benign,45504,45754
ROI_15,Benign,45526,45823
ROI_15,Benign,45534,45883
ROI_15,Benign,45549,45914
ROI_15,Benign,45549,45936
ROI_15,Benign,45587,46020
ROI_15,Benign,45640,46103
ROI_15,Benign,45724,46194
ROI_15,Benign,45883,46308
ROI_15,Benign,45990,46361
ROI_15,Benign,46027,46399
ROI_15,Benign,46111,46460
ROI_15,Benign,46149,46475
ROI_15,Benign,46202,46513
ROI_15,Benign,46225,46521
ROI_15,Benign,46293,46574
ROI_15,Benign,46316,46582
ROI_15,Benign,46369,46635
ROI_15,Benign,46415,46741
ROI_15,Benign,46415,46893
ROI_15,Benign,46361,47014
ROI_15,Benign,46323,47052
ROI_15,Benign,46263,47090
ROI_15,Benign,46240,47113
ROI_15,Benign,46134,47166
ROI_15,Benign,46081,47181
ROI_15,Benign,45929,47265
ROI_15,Benign,45891,47272
ROI_15,Benign,45868,47287
ROI_15,Benign,45823,47295
ROI_15,Benign,45754,47325
ROI_15,Benign,45716,47356
ROI_15,Benign,45678,47401
ROI_15,Benign,45640,47492
ROI_15,Benign,45640,47735
ROI_15,Benign,45618,47804
ROI_15,Benign,45580,47880
ROI_15,Benign,45542,47933
ROI_15,Benign,45526,47978
ROI_15,Benign,45428,48130
ROI_15,Benign,45382,48229
ROI_15,Benign,45299,48327
ROI_15,Benign,45268,48380
ROI_15,Benign,45230,48418
ROI_15,Benign,45185,48487
ROI_15,Benign,45162,48532
ROI_15,Benign,45155,48570
ROI_15,Benign,45124,48623
ROI_15,Benign,45124,48639
ROI_15,Benign,45079,48722
ROI_15,Benign,45026,48889
ROI_15,Benign,45010,48912
ROI_15,Benign,44995,48965
ROI_15,Benign,44972,48995
ROI_15,Benign,44965,49026
ROI_15,Benign,44934,49079
ROI_15,Benign,44919,49140
ROI_15,Benign,44874,49238
ROI_15,Benign,44828,49291
ROI_15,Benign,44767,49390
ROI_15,Benign,44714,49443
ROI_15,Benign,44570,49640
ROI_15,Benign,44540,49739
ROI_15,Benign,44502,49815
ROI_15,Benign,44502,49830
ROI_15,Benign,44487,49845
ROI_15,Benign,44441,49936
ROI_15,Benign,44441,49952
ROI_15,Benign,44388,50050
ROI_15,Benign,44380,50081
ROI_15,Benign,44320,50164
ROI_15,Benign,44304,50202
ROI_15,Benign,44274,50248
ROI_15,Benign,44084,50453
ROI_15,Benign,44084,50460
ROI_15,Benign,44001,50544
ROI_15,Benign,43955,50574
ROI_15,Benign,43902,50627
ROI_15,Benign,43834,50673
ROI_15,Benign,43766,50741
ROI_15,Benign,43705,50779
ROI_15,Benign,43644,50832
ROI_15,Benign,43470,50923
ROI_15,Benign,43371,51007
ROI_15,Benign,43249,51075
ROI_15,Benign,43219,51105
ROI_15,Benign,43113,51159
ROI_15,Benign,43006,51234
ROI_15,Benign,42969,51250
ROI_15,Benign,42953,51265
ROI_15,Benign,42938,51265
ROI_15,Benign,42893,51288
ROI_15,Benign,42802,51356
ROI_15,Benign,42673,51424
ROI_15,Benign,42612,51477
ROI_15,Benign,42513,51530
ROI_15,Benign,42376,51629
ROI_15,Benign,42301,51667
ROI_15,Benign,42240,51720
ROI_15,Benign,42134,51773
ROI_15,Benign,41997,51872
ROI_15,Benign,41929,51910
ROI_15,Benign,41876,51963
ROI_15,Benign,41792,52016
ROI_15,Benign,41716,52092
ROI_15,Benign,41663,52130
ROI_15,Benign,41595,52206
ROI_15,Benign,41526,52252
ROI_15,Benign,41458,52274
ROI_15,Benign,41420,52297
ROI_15,Benign,41405,52297
ROI_15,Benign,41352,52327
ROI_15,Benign,41314,52335
ROI_15,Benign,41291,52350
ROI_15,Benign,41124,52396
ROI_15,Benign,40980,52472
ROI_15,Benign,40805,52525
ROI_15,Benign,40646,52608
ROI_15,Benign,40517,52646
ROI_15,Benign,40494,52661
ROI_15,Benign,40456,52669
ROI_15,Benign,40388,52699
ROI_15,Benign,40365,52699
ROI_15,Benign,40297,52722
ROI_15,Benign,40266,52722
ROI_15,Benign,40259,52730
ROI_15,Benign,40228,52730
ROI_15,Benign,40221,52737
ROI_15,Benign,40190,52737
ROI_15,Benign,40160,52753
ROI_15,Benign,40092,52768
ROI_15,Benign,39986,52828
ROI_15,Benign,39894,52859
ROI_15,Benign,39872,52874
ROI_15,Benign,39788,52897
ROI_15,Benign,39705,52942
ROI_15,Benign,39690,52942
ROI_15,Benign,39629,52973
ROI_15,Benign,39598,52973
ROI_15,Benign,39560,52988
ROI_15,Benign,39530,52988
ROI_15,Benign,39523,52995
ROI_15,Benign,39485,52995
ROI_15,Benign,39477,53003
ROI_15,Benign,39431,53003
ROI_15,Benign,39424,53011
ROI_15,Benign,39386,53011
ROI_15,Benign,39378,53018
ROI_15,Benign,39340,53018
ROI_15,Benign,39333,53026
ROI_15,Benign,39257,53033
ROI_15,Benign,39249,53041
ROI_15,Benign,39173,53041
ROI_15,Benign,39166,53049
ROI_15,Benign,38930,53056
ROI_15,Benign,38923,53064
ROI_15,Benign,38832,53064
ROI_15,Benign,38824,53071
ROI_15,Benign,38521,53071
ROI_15,Benign,38513,53064
ROI_15,Benign,38316,53056
ROI_15,Benign,38308,53049
ROI_15,Benign,38133,53033
ROI_15,Benign,38126,53026
ROI_15,Benign,38080,53026
ROI_15,Benign,38073,53018
ROI_15,Benign,37815,53018
ROI_15,Benign,37807,53026
ROI_15,Benign,37678,53026
ROI_15,Benign,37670,53033
ROI_15,Benign,37663,53026
ROI_15,Benign,37458,53018
ROI_15,Benign,37450,53011
ROI_15,Benign,37321,53003
ROI_15,Benign,37314,52995
ROI_15,Benign,37268,52995
ROI_15,Benign,37261,52988
ROI_15,Benign,37185,52988
ROI_15,Benign,37177,52980
ROI_15,Benign,36881,52973
ROI_15,Benign,36873,52965
