roi_name,label,x_base,y_base
ROI_4,Mild,58817,26809
ROI_4,Mild,58703,26862
ROI_4,Mild,58552,26907
ROI_4,Mild,58491,26945
ROI_4,Mild,58430,26998
ROI_4,Mild,58369,27036
ROI_4,Mild,58256,27150
ROI_4,Mild,58187,27196
ROI_4,Mild,58111,27272
ROI_4,Mild,58066,27294
ROI_4,Mild,58020,27340
ROI_4,Mild,57997,27378
ROI_4,Mild,57937,27431
ROI_4,Mild,57899,27477
ROI_4,Mild,57823,27598
ROI_4,Mild,57770,27659
ROI_4,Mild,57717,27742
ROI_4,Mild,57694,27795
ROI_4,Mild,57671,27818
ROI_4,Mild,57656,27849
ROI_4,Mild,57572,27955
ROI_4,Mild,57481,28053
ROI_4,Mild,57383,28213
ROI_4,Mild,57292,28312
ROI_4,Mild,57193,28456
ROI_4,Mild,57147,28501
ROI_4,Mild,57033,28683
ROI_4,Mild,57026,28729
ROI_4,Mild,57018,28737
ROI_4,Mild,57018,28843
ROI_4,Mild,57011,28850
ROI_4,Mild,57011,28881
ROI_4,Mild,56996,28911
ROI_4,Mild,56920,28987
ROI_4,Mild,56889,29055
ROI_4,Mild,56813,29154
ROI_4,Mild,56798,29222
ROI_4,Mild,56791,29230
ROI_4,Mild,56791,29253
ROI_4,Mild,56783,29260
ROI_4,Mild,56783,29283
ROI_4,Mild,56775,29291
ROI_4,Mild,56775,29313
ROI_4,Mild,56737,29359
ROI_4,Mild,56722,29367
ROI_4,Mild,56669,29367
ROI_4,Mild,56662,29374
ROI_4,Mild,56495,29382
ROI_4,Mild,56487,29389
ROI_4,Mild,56441,29389
ROI_4,Mild,56396,29405
ROI_4,Mild,56366,29405
ROI_4,Mild,56320,29427
ROI_4,Mild,56305,29427
ROI_4,Mild,56252,29458
ROI_4,Mild,56176,29480
ROI_4,Mild,56107,29518
ROI_4,Mild,56092,29518
ROI_4,Mild,56032,29549
ROI_4,Mild,55940,29579
ROI_4,Mild,55857,29579
ROI_4,Mild,55834,29587
ROI_4,Mild,55796,29625
ROI_4,Mild,55781,29655
ROI_4,Mild,55493,29951
ROI_4,Mild,55424,29997
ROI_4,Mild,55394,30027
ROI_4,Mild,55364,30042
ROI_4,Mild,55273,30118
ROI_4,Mild,55212,30156
ROI_4,Mild,54984,30376
ROI_4,Mild,54931,30467
ROI_4,Mild,54893,30505
ROI_4,Mild,54885,30505
ROI_4,Mild,54817,30573
ROI_4,Mild,54794,30581
ROI_4,Mild,54696,30649
ROI_4,Mild,54589,30748
ROI_4,Mild,54551,30816
ROI_4,Mild,54488,30899
ROI_4,Mild,54847,31984
ROI_4,Mild,54885,31940
ROI_4,Mild,54961,31826
ROI_4,Mild,54992,31773
ROI_4,Mild,54992,31758
ROI_4,Mild,55022,31712
ROI_4,Mild,55121,31606
ROI_4,Mild,55174,31583
ROI_4,Mild,55242,31575
ROI_4,Mild,55250,31568
ROI_4,Mild,55318,31553
ROI_4,Mild,55493,31469
ROI_4,Mild,55576,31446
ROI_4,Mild,55682,31393
ROI_4,Mild,55736,31355
ROI_4,Mild,55773,31348
ROI_4,Mild,55796,31333
ROI_4,Mild,55834,31325
ROI_4,Mild,55903,31295
ROI_4,Mild,55986,31234
ROI_4,Mild,56077,31188
ROI_4,Mild,56153,31120
ROI_4,Mild,56252,31059
ROI_4,Mild,56328,30991
ROI_4,Mild,56419,30938
ROI_4,Mild,56495,30877
ROI_4,Mild,56662,30809
ROI_4,Mild,56753,30740
ROI_4,Mild,56867,30680
ROI_4,Mild,56904,30649
ROI_4,Mild,56973,30619
ROI_4,Mild,57094,30619
ROI_4,Mild,57102,30627
ROI_4,Mild,57125,30627
ROI_4,Mild,57322,30703
ROI_4,Mild,57413,30718
ROI_4,Mild,57481,30740
ROI_4,Mild,57512,30740
ROI_4,Mild,57565,30763
ROI_4,Mild,57610,30771
ROI_4,Mild,57671,30801
ROI_4,Mild,57899,30870
ROI_4,Mild,57967,30900
ROI_4,Mild,57990,30900
ROI_4,Mild,58020,30915
ROI_4,Mild,58073,30915
ROI_4,Mild,58081,30923
ROI_4,Mild,58301,30923
ROI_4,Mild,58309,30915
ROI_4,Mild,58377,30915
ROI_4,Mild,58385,30907
ROI_4,Mild,58438,30907
ROI_4,Mild,58445,30900
ROI_4,Mild,58498,30900
ROI_4,Mild,58536,30885
ROI_4,Mild,58574,30885
ROI_4,Mild,58612,30870
ROI_4,Mild,58650,30870
ROI_4,Mild,58658,30862
ROI_4,Mild,58696,30862
ROI_4,Mild,58703,30854
ROI_4,Mild,58749,30854
ROI_4,Mild,58757,30847
ROI_4,Mild,58794,30847
ROI_4,Mild,58802,30839
ROI_4,Mild,58848,30839
ROI_4,Mild,58855,30832
ROI_4,Mild,58939,30824
ROI_4,Mild,58946,30816
ROI_4,Mild,59022,30801
ROI_4,Mild,59045,30786
ROI_4,Mild,59136,30756
ROI_4,Mild,59273,30695
ROI_4,Mild,59326,30649
ROI_4,Mild,59349,30642
ROI_4,Mild,59371,30619
ROI_4,Mild,59447,30573
ROI_4,Mild,59531,30498
ROI_4,Mild,59569,30475
ROI_4,Mild,59698,30346
ROI_4,Mild,59705,30346
ROI_4,Mild,59812,30240
ROI_4,Mild,59850,30217
ROI_4,Mild,59933,30133
ROI_4,Mild,59968,30115
ROI_4,Mild,59685,29261
ROI_4,Mild,59307,29261
ROI_4,Mild,59193,29268
ROI_4,Mild,58854,29316
ROI_4,Mild,58796,29333
